E_minus_EF_eV,energia_meV,DOS_electronica
-11.972,-11972.0,-2.0489408982028457e-06
-11.922,-11922.0,-5.728394081938313e-06
-11.872,-11872.0,-1.4783196824355946e-05
-11.822,-11822.0,-3.5494582601624404e-05
-11.772,-11772.0,-7.917522955771854e-05
-11.722,-11722.0,-0.0001647376832006
-11.672,-11672.0,-0.0003126921225028
-11.622,-11622.0,-0.0005500201168691
-11.572,-11572.0,-0.0008785331587329
-11.522,-11522.0,-0.0012629514643708
-11.472,-11472.0,-0.0015957087391718
-11.422,-11422.0,-0.001665676410252
-11.372,-11372.0,-0.0011598746950023
-11.322,-11322.0,0.0003069898383823
-11.272,-11272.0,0.003078478190141
-11.222,-11222.0,0.0074157299478485
-11.172,-11172.0,0.013286749969072
-11.122,-11122.0,0.0205883960929581
-11.072,-11072.0,0.0285876736540807
-11.022,-11022.0,0.0370321795811015
-10.972,-10972.0,0.0452890386691705
-10.922,-10922.0,0.0528676028556162
-10.872,-10872.0,0.0602425964690488
-10.822,-10822.0,0.0657616016973983
-10.772,-10772.0,0.071286240513982
-10.722,-10722.0,0.0758895362895284
-10.672,-10672.0,0.0802561862680318
-10.622,-10622.0,0.0847727352794487
-10.572,-10572.0,0.0879802673623033
-10.522,-10522.0,0.0916855446189681
-10.472,-10472.0,0.0953753929136694
-10.422,-10422.0,0.099040627274212
-10.372,-10372.0,0.1026821003821871
-10.322,-10322.0,0.1057502107737849
-10.272,-10272.0,0.1083636625169287
-10.222,-10222.0,0.1117749544797632
-10.172,-10172.0,0.1146115223380609
-10.122,-10122.0,0.1173998324470426
-10.072,-10072.0,0.1212113877191081
-10.022,-10022.0,0.1230485209044409
-9.972,-9972.0,0.1262389821394927
-9.922,-9922.0,0.1292234920084269
-9.872,-9872.0,0.1311026354391368
-9.822,-9822.0,0.1335323601867225
-9.772,-9772.0,0.1360542562141936
-9.722,-9722.0,0.139339326903375
-9.672,-9672.0,0.1414337127153436
-9.622,-9622.0,0.1440263075408527
-9.572,-9572.0,0.1463363362613402
-9.522,-9522.0,0.1478182041155945
-9.472,-9472.0,0.1505905771767668
-9.422,-9422.0,0.1527881886350396
-9.372,-9372.0,0.156277596819383
-9.322,-9322.0,0.1582032437380943
-9.272,-9272.0,0.1599003653049661
