energia_eV,E_minus_EF_eV,energia_meV,DOS_electronica
-20.0,-28.924,-28924.0,0.0
-19.98,-28.904,-28904.0,0.0
-19.96,-28.884,-28884.0,0.0
-19.94,-28.864,-28864.0,0.0
-19.92,-28.844,-28844.0,0.0
-19.9,-28.823999999999998,-28823.999999999996,0.0
-19.88,-28.804,-28804.0,0.0
-19.86,-28.784,-28784.0,0.0
-19.84,-28.764,-28764.0,0.0
-19.82,-28.744,-28744.0,0.0
-19.8,-28.724,-28724.0,0.0
-19.78,-28.704,-28704.0,0.0
-19.76,-28.684,-28684.0,0.0
-19.74,-28.663999999999998,-28663.999999999996,0.0
-19.72,-28.644,-28644.0,0.0
-19.7,-28.624,-28624.0,0.0
-19.68,-28.604,-28604.0,0.0
-19.66,-28.584,-28584.0,0.0
-19.64,-28.564,-28564.0,0.0
-19.62,-28.544,-28544.0,0.0
-19.6,-28.524,-28524.0,0.0
-19.58,-28.503999999999998,-28503.999999999996,0.0
-19.56,-28.483999999999998,-28484.0,0.0
-19.54,-28.464,-28464.0,0.0
-19.52,-28.444,-28444.0,0.0
-19.5,-28.424,-28424.0,0.0
-19.48,-28.404,-28404.0,0.0
-19.46,-28.384,-28384.0,0.0
-19.44,-28.364,-28364.0,0.0
-19.42,-28.344,-28344.0,0.0
-19.4,-28.323999999999998,-28323.999999999996,0.0
-19.38,-28.304,-28304.0,0.0
-19.36,-28.284,-28284.0,0.0
-19.34,-28.264,-28264.0,0.0
-19.32,-28.244,-28244.0,0.0
-19.3,-28.224,-28224.0,0.0
-19.28,-28.204,-28204.0,0.0
-19.26,-28.184,-28184.0,0.0
-19.24,-28.163999999999998,-28163.999999999996,0.0
-19.22,-28.144,-28144.0,0.0
-19.2,-28.124,-28124.0,0.0
-19.18,-28.104,-28104.0,0.0
-19.16,-28.084,-28084.0,0.0
-19.14,-28.064,-28064.0,0.0
-19.12,-28.044,-28044.0,0.0
-19.1,-28.024,-28024.0,0.0
-19.08,-28.003999999999998,-28003.999999999996,0.0
-19.06,-27.983999999999998,-27984.0,0.0
-19.04,-27.964,-27964.0,0.0
-19.02,-27.944,-27944.0,0.0
-19.0,-27.924,-27924.0,0.0
-18.98,-27.904,-27904.0,0.0
-18.96,-27.884,-27884.0,0.0
-18.94,-27.864,-27864.0,0.0
-18.92,-27.844,-27844.0,0.0
-18.9,-27.823999999999998,-27823.999999999996,0.0
-18.88,-27.804,-27804.0,0.0
-18.86,-27.784,-27784.0,0.0
-18.84,-27.764,-27764.0,0.0
-18.82,-27.744,-27744.0,0.0
-18.8,-27.724,-27724.0,0.0
-18.78,-27.704,-27704.0,0.0
-18.76,-27.684,-27684.0,0.0
-18.74,-27.663999999999998,-27663.999999999996,0.0
-18.72,-27.644,-27644.0,0.0
-18.7,-27.624,-27624.0,0.0
