E_minus_EF_eV,energia_meV,DOS_electronica
-55.17400000000001,-55174.00000000001,-0.0001241532675487
-55.124,-55124.0,-0.0003558359948186
-55.074,-55074.0,-0.0009578991532302
-55.024,-55024.0,-0.0023888220110907
-54.974,-54974.0,-0.0056106839662265
-54.92400000000001,-54924.00000000001,-0.0121757934040749
-54.874,-54874.0,-0.0246222296803192
-54.824,-54824.0,-0.046179024327285
-54.774,-54774.0,-0.0799384067434568
-54.724,-54724.0,-0.1262119219987912
-54.67400000000001,-54674.00000000001,-0.1786268607105402
-54.624,-54624.0,-0.2171129380650092
-54.574,-54574.0,-0.2046982677702637
-54.524,-54524.0,-0.0882912681913878
-54.474,-54474.0,0.1996111364379981
-54.42400000000001,-54424.00000000001,0.7217861839982548
-54.374,-54374.0,1.5050344499110424
-54.324,-54324.0,2.487100594455917
-54.274,-54274.0,3.594266765014583
-54.224,-54224.0,4.6156065728937605
-54.17400000000001,-54174.00000000001,5.312241687020466
-54.124,-54124.0,5.608337811111868
-54.074,-54074.0,5.314534455625966
-54.024,-54024.0,4.6105730145287405
-53.974,-53974.0,3.5741255165239574
-53.92400000000001,-53924.00000000001,2.441127313155808
-53.874,-53874.0,1.4256136360928648
-53.824,-53824.0,0.6300969029048142
-53.774,-53774.0,0.1108350745010268
-53.724,-53724.0,-0.1590531111132432
-53.67400000000001,-53674.00000000001,-0.2519542965643839
-53.624,-53624.0,-0.2388674252732532
-53.574,-53574.0,-0.1845944239321075
-53.524,-53524.0,-0.1234758570548243
-53.474,-53474.0,-0.0739565691681414
-53.42400000000001,-53424.00000000001,-0.0401966309343371
-53.374,-53374.0,-0.0200452119766891
-53.324,-53324.0,-0.0091707845498129
-53.274,-53274.0,-0.0039274609922295
-53.224,-53224.0,-0.0015587456617764
-53.17400000000001,-53174.00000000001,-0.0005682026829892
-53.124,-53124.0,-0.000195725351489
-53.074,-53074.0,-6.290560717372414e-05
-53.024,-53024.0,-1.877086078623288e-05
-52.974,-52974.0,-5.19314519313577e-06
