E_minus_EF_eV,energia_meV,DOS_electronica
-18.087,-18087.0,-0.0012369549285519
-18.037,-18037.0,-0.0033637975184204
-17.987000000000002,-17987.000000000004,-0.0084873885865555
-17.937,-17937.0,-0.0198811808823805
-17.887,-17887.0,-0.0436389578144538
-17.837,-17837.0,-0.0881054088126826
-17.787,-17787.0,-0.1645889523284403
-17.737000000000002,-17737.000000000004,-0.2830634417216509
-17.687,-17687.0,-0.4387775842268813
-17.637,-17637.0,-0.6123911009878067
-17.587,-17587.0,-0.7386484892210506
-17.537,-17537.0,-0.6928520290530952
-17.487000000000002,-17487.000000000004,-0.306567756650521
-17.437,-17437.0,0.6196221703768002
-17.387,-17387.0,2.2570652840188656
-17.337,-17337.0,4.714017745405897
-17.287,-17287.0,7.824371736458944
-17.237000000000002,-17237.000000000004,11.511507343180078
-17.187,-17187.0,15.199207512785796
-17.137,-17137.0,18.558237155531103
-17.087,-17087.0,20.946635334062343
-17.037,-17037.0,22.14761705146403
-16.987000000000002,-16987.000000000004,22.231713924276548
-16.937,-16937.0,20.77030147629445
-16.887,-16887.0,18.368894574753163
-16.837,-16837.0,15.170064077285726
-16.787,-16787.0,11.409650670982352
-16.737000000000002,-16737.000000000004,7.811545913176734
-16.687,-16687.0,4.651670419998423
-16.637,-16637.0,2.2014843041795187
-16.587,-16587.0,0.5479462754412603
-16.537,-16537.0,-0.3869348639401419
-16.487000000000002,-16487.000000000004,-0.7657806378863936
-16.437,-16437.0,-0.7884633004147787
-16.387,-16387.0,-0.6391537560153093
-16.337,-16337.0,-0.4492646151594371
-16.287,-16286.999999999998,-0.2788804210568276
-16.237000000000002,-16237.000000000002,-0.1580415835572429
-16.187,-16187.000000000002,-0.081041796309667
-16.137,-16137.0,-0.0385828470618011
-16.087,-16087.0,-0.016870994780917
-16.037,-16036.999999999998,-0.0068285353203977
-15.987000000000002,-15987.000000000002,-0.0025703763234705
-15.937,-15937.0,-0.0008910063811914
-15.887,-15887.0,-0.0002894353720679
-15.837,-15837.0,-8.672629061629167e-05
-15.787,-15787.0,-2.442353812895423e-05
-15.737000000000002,-15737.000000000002,-6.357329472419581e-06
-15.687,-15687.0,-1.5534636981055078e-06
-15.637,-15637.0,-3.510458941309733e-07
-15.587,-15587.0,-7.393885195386258e-08
-15.537,-15537.0,-1.4682051504877211e-08
-15.487000000000002,-15487.000000000002,-2.692096310836013e-09
-15.437,-15437.0,-4.611768833316578e-10
-15.387,-15387.0,-7.361853916487092e-11
-15.337,-15337.0,-1.1046421816112506e-11
-15.287,-15287.0,-1.5408112952749138e-12
-15.237000000000002,-15237.000000000002,-1.9863229087362169e-13
-15.187,-15187.0,-2.4217452085072632e-14
-15.137,-15137.0,-2.7600374602351368e-15
-15.087,-15087.0,-2.920914556317486e-16
-15.037,-15037.0,-2.888550389348397e-17
-14.987,-14987.0,-2.668032641473864e-18
-14.937,-14937.0,-2.292918831516785e-19
-14.887,-14887.0,-1.8455462104700143e-20
-14.837,-14837.0,-1.3868703698254269e-21
-14.787,-14787.0,-9.745403924461432e-23
-14.737,-14737.0,-6.430271754609541e-24
-14.687,-14687.0,-3.9206504033321625e-25
-14.637,-14637.0,-2.2480951703710354e-26
-14.587,-14587.0,-1.202966581425669e-27
-14.537,-14537.0,-5.987387042560238e-29
-14.487,-14487.0,-2.8169769380115545e-30
-14.437,-14437.0,-1.2262349810623744e-31
-14.387,-14387.0,-4.9773129183729896e-33
-14.337,-14337.0,-1.909513841386849e-34
-14.287,-14287.0,-8.961333309004209e-36
-14.237,-14237.0,-6.131390203893758e-35
-14.187,-14187.0,-1.572526853480593e-33
-14.137,-14137.0,-3.7647356405279086e-32
-14.087,-14087.0,-8.446569554308623e-31
-14.037,-14037.0,-1.780847300942988e-29
-13.987,-13987.0,-3.488368145969881e-28
-13.937,-13937.0,-6.3849021408901455e-27
-13.887,-13887.0,-1.0807038227623213e-25
-13.837,-13837.0,-1.7301154130450343e-24
-13.787,-13787.0,-2.584634343767107e-23
-13.737,-13737.0,-3.5856470576760483e-22
-13.687,-13687.0,-4.624353830150323e-21
-13.637,-13637.0,-5.636703044320183e-20
-13.587,-13587.0,-6.389964442610863e-19
-13.537,-13537.0,-6.729891292838853e-18
-13.487,-13487.0,-6.633981673117672e-17
-13.437,-13437.0,-6.126955681630289e-16
-13.387,-13387.0,-5.208519907545188e-15
-13.337,-13337.0,-4.1921571004935e-14
-13.287,-13287.0,-3.118776091843927e-13
-13.237,-13237.0,-2.188198695176897e-12
-13.187,-13187.0,-1.420736836989757e-11
-13.137,-13137.0,-8.641823342526449e-11
-13.087,-13087.0,-4.89271508855714e-10
-13.037,-13037.0,-2.5595754109277124e-09
-12.987,-12987.0,-1.2653576245962546e-08
-12.937,-12937.0,-5.76257633653274e-08
-12.887,-12887.0,-2.469883482835515e-07
-12.837,-12837.0,-9.805288374440838e-07
-12.787,-12787.0,-3.616736476688876e-06
-12.737,-12737.0,-1.2352314172657345e-05
-12.687,-12687.0,-3.922418556095551e-05
-12.637,-12637.0,-0.0001167618910891
-12.587,-12587.0,-0.0003195565446862
-12.537,-12537.0,-0.0008137129808003
-12.487,-12487.0,-0.0019079938528532
-12.437,-12437.0,-0.0041285276828499
-12.387,-12387.0,-0.0081886237801621
-12.337,-12337.0,-0.0146501348269496
-12.287,-12287.0,-0.023842232501708
-12.237,-12237.0,-0.0346564381805051
-12.187,-12187.0,-0.0425736894141592
-12.137,-12137.0,-0.0401601544452646
-12.087,-12087.0,-0.0169962043441822
-12.037,-12037.0,0.0389246355889996
-11.987,-11987.0,0.1359404562548826
-11.937,-11937.0,0.2734442163472277
-11.887,-11887.0,0.4430082616234199
-11.837,-11837.0,0.6171932404796275
-11.787,-11787.0,0.7706750186853565
-11.737,-11737.0,0.8853344240754574
-11.687,-11687.0,0.9258458373090768
-11.637,-11637.0,0.9166938857192438
-11.587,-11587.0,0.8537996210432984
-11.537,-11537.0,0.7634984593204045
-11.487,-11487.0,0.6718952222662786
-11.437,-11437.0,0.5873672247846468
-11.387,-11387.0,0.5188719564421427
-11.337000000000002,-11337.000000000002,0.4721445549945201
-11.287,-11287.0,0.4336463170612171
-11.237,-11237.0,0.4133050956785081
-11.187,-11187.0,0.3938094203653103
-11.137,-11137.0,0.3798394781465491
-11.087,-11087.0,0.3653126302255464
-11.037,-11037.0,0.355323793172516
-10.987,-10987.0,0.3462689606728472
-10.937,-10937.0,0.3373428804219744
-10.887,-10887.0,0.328798139437749
