E_minus_EF_eV,E_eV,DOS_original,DOS_nueva
-10.361999999999998,12.0,6.706e-42,6.684376959699726e-42
-10.356999999999998,12.005,9.484e-42,9.619023131334462e-42
-10.351999999999999,12.01,1.34e-41,1.3040738345455052e-41
-10.346999999999998,12.015,1.893e-41,1.864502001717576e-41
-10.341999999999999,12.02,2.672e-41,2.675292466907563e-41
-10.336999999999998,12.025,3.768e-41,3.810751922906253e-41
-10.331999999999999,12.03,5.312e-41,5.419555218374627e-41
-10.326999999999998,12.035,7.482e-41,7.530460050785101e-41
-10.322,12.04,1.053e-40,1.031631809547835e-40
-10.316999999999998,12.045,1.481e-40,1.4875080459041115e-40
-10.311999999999998,12.05,2.082e-40,2.0882908539104185e-40
-10.306999999999999,12.055,2.925e-40,2.8953107836070078e-40
-10.301999999999998,12.06,4.107e-40,4.138881500176203e-40
-10.296999999999999,12.065,5.761e-40,5.6416199170378975e-40
-10.291999999999998,12.07,8.077e-40,7.88429225823026e-40
-10.286999999999999,12.075,1.132e-39,1.1216306014681293e-39
-10.281999999999998,12.08,1.584e-39,1.5581926533524684e-39
-10.276999999999997,12.085,2.217e-39,2.2757070108347918e-39
-10.271999999999998,12.09,3.1e-39,3.112662057157909e-39
-10.266999999999998,12.095,4.331e-39,4.3359569682598425e-39
-10.261999999999999,12.1,6.048e-39,6.200847924803065e-39
-10.256999999999998,12.105,8.439e-39,8.447395313650051e-39
-10.251999999999999,12.11,1.177e-38,1.152014434204358e-38
-10.246999999999998,12.115,1.64e-38,1.672585167051961e-38
-10.241999999999999,12.12,2.284e-38,2.2854543362117442e-38
-10.236999999999998,12.125,3.178e-38,3.239486593353558e-38
-10.231999999999998,12.13,4.42e-38,4.3822926027145507e-38
-10.226999999999999,12.135,6.144e-38,6.231744528142058e-38
-10.221999999999998,12.14,8.533e-38,8.66678633518718e-38
-10.216999999999999,12.145,1.184e-37,1.1813763516496606e-37
-10.211999999999998,12.15,1.643e-37,1.6805774783275226e-37
-10.206999999999999,12.155,2.277e-37,2.2685923500763657e-37
-10.201999999999998,12.16,3.154e-37,3.1277576346482484e-37
-10.197,12.165,4.366e-37,4.4696793879144295e-37
-10.191999999999998,12.17,6.04e-37,5.918231291537419e-37
-10.186999999999998,12.175,8.35e-37,8.502348167142526e-37
-10.181999999999999,12.18,1.154e-36,1.1562495601333823e-36
-10.176999999999998,12.185,1.592e-36,1.5487942683722183e-36
-10.171999999999999,12.19,2.197e-36,2.239609587598615e-36
-10.166999999999998,12.195,3.029e-36,3.051462633330621e-36
-10.161999999999999,12.2,4.174e-36,4.262523374839402e-36
-10.156999999999998,12.205,5.747e-36,5.6502143495689105e-36
-10.151999999999997,12.21,7.907e-36,8.114333492290239e-36
-10.146999999999998,12.215,1.087e-35,1.0979584165704784e-35
-10.141999999999998,12.22,1.494e-35,1.488944289297567e-35
-10.136999999999999,12.225,2.052e-35,2.059724043022652e-35
-10.131999999999998,12.23,2.815e-35,2.7501142766009524e-35
-10.126999999999999,12.235,3.861e-35,3.788758272354961e-35
-10.121999999999998,12.24,5.291e-35,5.227275693318769e-35
-10.116999999999999,12.245,7.247e-35,7.436638109374827e-35
-10.111999999999998,12.25,9.918e-35,1.0149867494396004e-34
-10.106999999999998,12.255,1.356e-34,1.3950894531249689e-34
-10.101999999999999,12.26,1.854e-34,1.8591937265100654e-34
-10.096999999999998,12.265,2.532e-34,2.5625328533442183e-34
-10.091999999999999,12.27,3.457e-34,3.3764403140446383e-34
-10.086999999999998,12.275,4.715e-34,4.673189952918877e-34
-10.081999999999999,12.28,6.427e-34,6.545161069333033e-34
-10.076999999999998,12.285,8.755e-34,8.590921385636605e-34
-10.072,12.29,1.192e-33,1.196905995310575e-33
-10.066999999999998,12.295,1.621e-33,1.6395458000942913e-33
-10.061999999999998,12.3,2.204e-33,2.220894503668646e-33
-10.056999999999999,12.305,2.995e-33,2.9285605319309877e-33
-10.051999999999998,12.31,4.066e-33,3.997948984143673e-33
-10.046999999999999,12.315,5.517e-33,5.533657439694439e-33
-10.041999999999998,12.32,7.48e-33,7.387054586378192e-33
-10.036999999999999,12.325,1.014e-32,9.840657196868522e-33
-10.031999999999998,12.33,1.372e-32,1.4089117204269544e-32
-10.026999999999997,12.335,1.857e-32,1.8052101417473233e-32
-10.021999999999998,12.34,2.511e-32,2.525240239653448e-32
-10.016999999999998,12.345,3.394e-32,3.382908863295533e-32
-10.011999999999999,12.35,4.583e-32,4.678023890812337e-32
-10.006999999999998,12.355,6.185e-32,6.057125765047004e-32
-10.001999999999999,12.36,8.341e-32,8.171598446345538e-32
-9.996999999999998,12.365,1.124e-31,1.1254546240199778e-31
-9.991999999999999,12.37,1.514e-31,1.4978043592172745e-31
-9.986999999999998,12.375,2.038e-31,2.034356813718428e-31
-9.981999999999998,12.38,2.741e-31,2.6821653572412565e-31
-9.976999999999999,12.385,3.684e-31,3.594491410870231e-31
-9.971999999999998,12.39,4.949e-31,5.0488568408597046e-31
-9.966999999999999,12.395,6.643e-31,6.795674624644804e-31
-9.961999999999998,12.4,8.912e-31,8.728329629482953e-31
-9.956999999999999,12.405,1.195e-30,1.1706432771163278e-30
-9.951999999999998,12.41,1.6e-30,1.5686169286884539e-30
-9.947,12.415,2.143e-30,2.1095914409089015e-30
-9.941999999999998,12.42,2.867e-30,2.890494643662941e-30
-9.936999999999998,12.425,3.833e-30,3.8215689888899394e-30
-9.931999999999999,12.43,5.121e-30,5.1094677693210996e-30
-9.926999999999998,12.435,6.837e-30,6.672731208569584e-30
-9.921999999999999,12.44,9.123e-30,9.230079873148968e-30
-9.916999999999998,12.445,1.216e-29,1.2391848939499248e-29
-9.911999999999999,12.45,1.621e-29,1.669363563051698e-29
-9.906999999999998,12.455,2.158e-29,2.2015348256540866e-29
-9.901999999999997,12.46,2.872e-29,2.798744663946214e-29
-9.896999999999998,12.465,3.82e-29,3.8815758294435845e-29
-9.891999999999998,12.47,5.076e-29,5.103249539550693e-29
-9.886999999999999,12.475,6.742e-29,6.730951004693474e-29
-9.881999999999998,12.48,8.948e-29,8.733461154003165e-29
-9.876999999999999,12.485,1.187e-28,1.213483444911634e-28
-9.871999999999998,12.49,1.573e-28,1.5856838799488854e-28
-9.866999999999999,12.495,2.083e-28,2.134182252655317e-28
-9.861999999999998,12.5,2.758e-28,2.698800026272502e-28
-9.856999999999998,12.505,3.648e-28,3.7519212386414754e-28
-9.851999999999999,12.51,4.822e-28,4.8088436666150485e-28
-9.846999999999998,12.515,6.37e-28,6.266828209145055e-28
-9.841999999999999,12.52,8.409e-28,8.543262012607483e-28
-9.836999999999998,12.525,1.109e-27,1.080464400440838e-27
-9.831999999999999,12.53,1.463e-27,1.4904137594498282e-27
-9.826999999999998,12.535,1.927e-27,1.9240815342455035e-27
-9.822,12.54,2.537e-27,2.5525854317039148e-27
-9.816999999999998,12.545,3.338e-27,3.242906857491415e-27
-9.811999999999998,12.55,4.389e-27,4.505550900043581e-27
-9.806999999999999,12.555,5.766e-27,5.650541234130982e-27
-9.801999999999998,12.56,7.572e-27,7.659659305185895e-27
-9.796999999999999,12.565,9.936e-27,1.0036487803884968e-26
-9.791999999999998,12.57,1.303e-26,1.341451885722097e-26
-9.786999999999999,12.575,1.707e-26,1.724772407369808e-26
-9.781999999999998,12.58,2.236e-26,2.189531134126373e-26
-9.776999999999997,12.585,2.926e-26,2.972921168687944e-26
-9.771999999999998,12.59,3.827e-26,3.856184801451737e-26
-9.766999999999998,12.595,5.002e-26,5.143400254683699e-26
-9.761999999999999,12.6,6.533e-26,6.344861270392306e-26
-9.756999999999998,12.605,8.527e-26,8.366140092912967e-26
-9.751999999999999,12.61,1.112e-25,1.1437485789531433e-25
-9.746999999999998,12.615,1.45e-25,1.467271455335619e-25
-9.741999999999999,12.62,1.888e-25,1.901608829378047e-25
-9.736999999999998,12.625,2.458e-25,2.426538127422652e-25
-9.731999999999998,12.63,3.198e-25,3.150020245437526e-25
-9.726999999999999,12.635,4.157e-25,4.181528021340089e-25
-9.721999999999998,12.64,5.401e-25,5.5410854142902945e-25
-9.716999999999999,12.645,7.011e-25,6.949317940414534e-25
-9.711999999999998,12.65,9.096e-25,9.229029738274561e-25
-9.706999999999999,12.655,1.179e-24,1.1771141808415277e-24
-9.701999999999998,12.66,1.528e-24,1.531801017014544e-24
-9.697,12.665,1.979e-24,1.9321854676859224e-24
-9.691999999999998,12.67,2.56e-24,2.56425092570003e-24
-9.686999999999998,12.675,3.31e-24,3.2365415585047144e-24
-9.681999999999999,12.68,4.278e-24,4.188779322469506e-24
-9.676999999999998,12.685,5.524e-24,5.662611892937486e-24
-9.671999999999999,12.69,7.129e-24,6.97019510918119e-24
-9.666999999999998,12.695,9.193e-24,9.400407305144504e-24
-9.661999999999999,12.7,1.185e-23,1.211036619711216e-23
-9.656999999999998,12.705,1.526e-23,1.5703525679918395e-23
-9.651999999999997,12.71,1.964e-23,1.9333620048075796e-23
-9.646999999999998,12.715,2.526e-23,2.5122625010616243e-23
-9.641999999999998,12.72,3.247e-23,3.341085942550694e-23
-9.636999999999999,12.725,4.17e-23,4.0811616584661506e-23
-9.631999999999998,12.73,5.353e-23,5.282543237837237e-23
-9.626999999999999,12.735,6.866e-23,6.913367820102079e-23
-9.621999999999998,12.74,8.802e-23,8.662966397663822e-23
-9.616999999999999,12.745,1.128e-22,1.0976610547283517e-22
-9.611999999999998,12.75,1.443e-22,1.4568673330919458e-22
-9.606999999999998,12.755,1.847e-22,1.791761474742588e-22
-9.601999999999999,12.76,2.361e-22,2.34838333806492e-22
-9.596999999999998,12.765,3.016e-22,2.9959167419568938e-22
-9.591999999999999,12.77,3.851e-22,3.9372613192815963e-22
-9.586999999999998,12.775,4.914e-22,4.943476248303462e-22
-9.581999999999999,12.78,6.266e-22,6.132747970404718e-22
-9.576999999999998,12.785,7.984e-22,7.985442722809763e-22
-9.572,12.79,1.017e-21,1.006328100712501e-21
-9.566999999999998,12.795,1.294e-21,1.3267913138784214e-21
-9.561999999999998,12.8,1.645e-21,1.6113311988978526e-21
-9.556999999999999,12.805,2.091e-21,2.1027266692148577e-21
-9.551999999999998,12.81,2.655e-21,2.6501317545299308e-21
-9.546999999999999,12.815,3.37e-21,3.408238593175504e-21
-9.541999999999998,12.82,4.274e-21,4.170389661439318e-21
-9.536999999999999,12.825,5.416e-21,5.560650237240523e-21
-9.531999999999998,12.83,6.86e-21,6.847564558813858e-21
-9.526999999999997,12.835,8.683e-21,8.749380178963235e-21
-9.521999999999998,12.84,1.098e-20,1.0972796741058297e-20
-9.516999999999998,12.845,1.388e-20,1.4000534317169977e-20
-9.511999999999999,12.85,1.754e-20,1.7439492513848493e-20
-9.506999999999998,12.855,2.214e-20,2.1739807503545202e-20
-9.501999999999999,12.86,2.793e-20,2.786920383331651e-20
-9.496999999999998,12.865,3.521e-20,3.6219804247213825e-20
-9.491999999999999,12.87,4.436e-20,4.507610003257197e-20
-9.486999999999998,12.875,5.585e-20,5.516357349271859e-20
-9.481999999999998,12.88,7.027e-20,7.055184790534221e-20
-9.476999999999999,12.885,8.835e-20,8.749435650244853e-20
-9.471999999999998,12.89,1.11e-19,1.1124480465642229e-19
-9.466999999999999,12.895,1.394e-19,1.358822215797725e-19
-9.461999999999998,12.9,1.749e-19,1.722293573432044e-19
-9.456999999999999,12.905,2.193e-19,2.257098878126563e-19
-9.451999999999998,12.91,2.748e-19,2.8021166684124343e-19
-9.447,12.915,3.442e-19,3.438901239468715e-19
-9.441999999999998,12.92,4.307e-19,4.292376621344488e-19
-9.436999999999998,12.925,5.387e-19,5.261125875002926e-19
-9.431999999999999,12.93,6.732e-19,6.618613507944545e-19
-9.426999999999998,12.935,8.409e-19,8.278633088283496e-19
-9.421999999999999,12.94,1.049e-18,1.0322520501925052e-18
-9.416999999999998,12.945,1.309e-18,1.306037273478161e-18
-9.411999999999999,12.95,1.632e-18,1.6651447903067727e-18
-9.406999999999998,12.955,2.032e-18,2.0606434915378228e-18
-9.401999999999997,12.96,2.53e-18,2.473046514713074e-18
-9.396999999999998,12.965,3.147e-18,3.068469389865076e-18
-9.391999999999998,12.97,3.913e-18,3.925608250213763e-18
-9.386999999999999,12.975,4.861e-18,4.957426604712514e-18
-9.381999999999998,12.98,6.034e-18,6.083065677341685e-18
-9.376999999999999,12.985,7.487e-18,7.439545919904432e-18
-9.371999999999998,12.99,9.282e-18,9.23457896673746e-18
-9.366999999999999,12.995,1.15e-17,1.1819358852922747e-17
-9.361999999999998,13.0,1.424e-17,1.4061733700517448e-17
-9.356999999999998,13.005,1.762e-17,1.720086530562766e-17
-9.351999999999999,13.01,2.179e-17,2.1434844559137392e-17
-9.346999999999998,13.015,2.692e-17,2.67262726198185e-17
-9.341999999999999,13.02,3.325e-17,3.293648286648064e-17
-9.336999999999998,13.025,4.103e-17,4.040666484526002e-17
-9.331999999999999,13.03,5.06e-17,5.088265730626629e-17
-9.326999999999998,13.035,6.236e-17,6.368100584209623e-17
-9.322,13.04,7.68e-17,7.734392893378645e-17
-9.316999999999998,13.045,9.452e-17,9.36994888573292e-17
-9.311999999999998,13.05,1.163e-16,1.1388861345558088e-16
-9.306999999999999,13.055,1.429e-16,1.4159155861345835e-16
-9.301999999999998,13.06,1.755e-16,1.7338516828587386e-16
-9.296999999999999,13.065,2.154e-16,2.1294085542836763e-16
-9.291999999999998,13.07,2.643e-16,2.6460410021238404e-16
-9.286999999999999,13.075,3.24e-16,3.3308377164329976e-16
-9.281999999999998,13.08,3.969e-16,3.905961065445991e-16
-9.276999999999997,13.085,4.859e-16,4.876524167783394e-16
-9.271999999999998,13.09,5.944e-16,6.035660533369654e-16
-9.266999999999998,13.095,7.268e-16,7.096042351590496e-16
-9.261999999999999,13.1,8.879e-16,8.795584634294764e-16
-9.256999999999998,13.105,1.084e-15,1.092182402329063e-15
-9.251999999999999,13.11,1.323e-15,1.3241387452809746e-15
-9.246999999999998,13.115,1.613e-15,1.6498602918735787e-15
-9.241999999999999,13.12,1.965e-15,1.9996626622561183e-15
-9.236999999999998,13.125,2.393e-15,2.448052044879952e-15
-9.231999999999998,13.13,2.913e-15,2.9670722866478428e-15
-9.226999999999999,13.135,3.542e-15,3.64564927454713e-15
-9.221999999999998,13.14,4.305e-15,4.385856252392164e-15
-9.216999999999999,13.145,5.228e-15,5.212451635908507e-15
-9.211999999999998,13.15,6.345e-15,6.470604473577358e-15
-9.206999999999999,13.155,7.695e-15,7.519151400216778e-15
-9.201999999999998,13.16,9.327e-15,9.222792725854614e-15
-9.197,13.165,1.13e-14,1.1521350204129618e-14
-9.191999999999998,13.17,1.368e-14,1.369657778563758e-14
-9.186999999999998,13.175,1.654e-14,1.691137517167854e-14
-9.181999999999999,13.18,2e-14,2.0257830230957148e-14
-9.176999999999998,13.185,2.416e-14,2.472551825662808e-14
-9.171999999999999,13.19,2.916e-14,2.962047450980542e-14
-9.166999999999998,13.195,3.518e-14,3.60003684309071e-14
-9.161999999999999,13.2,4.242e-14,4.182820408902259e-14
-9.156999999999998,13.205,5.11e-14,5.14396747807526e-14
-9.151999999999997,13.21,6.153e-14,6.080259919052504e-14
-9.146999999999998,13.215,7.403e-14,7.201329190009847e-14
-9.141999999999998,13.22,8.902e-14,8.987552194815632e-14
-9.136999999999999,13.225,1.07e-13,1.0430037808896315e-13
-9.131999999999998,13.23,1.285e-13,1.2499350043864199e-13
-9.126999999999999,13.235,1.541e-13,1.5547222637098524e-13
-9.121999999999998,13.24,1.849e-13,1.8860751864898587e-13
-9.116999999999999,13.245,2.215e-13,2.24206533129863e-13
-9.111999999999998,13.25,2.653e-13,2.6761663849224697e-13
-9.106999999999998,13.255,3.175e-13,3.107017666535449e-13
-9.101999999999999,13.26,3.798e-13,3.8219261127688533e-13
-9.096999999999998,13.265,4.539e-13,4.419794861122243e-13
-9.091999999999999,13.27,5.422e-13,5.441909130194983e-13
-9.086999999999998,13.275,6.472e-13,6.626730879648167e-13
-9.081999999999999,13.28,7.72e-13,7.890458659655258e-13
-9.076999999999998,13.285,9.203e-13,9.444852365177311e-13
-9.072,13.29,1.096e-12,1.1203053436862043e-12
-9.066999999999998,13.295,1.305e-12,1.2963842397141977e-12
-9.061999999999998,13.3,1.553e-12,1.5399458837160538e-12
-9.056999999999999,13.305,1.846e-12,1.853293899616123e-12
-9.051999999999998,13.31,2.193e-12,2.246467122006371e-12
-9.046999999999999,13.315,2.604e-12,2.636047234342918e-12
-9.041999999999998,13.32,3.09e-12,3.1460117740885205e-12
-9.036999999999999,13.325,3.664e-12,3.736206798601077e-12
-9.031999999999998,13.33,4.342e-12,4.246932910011826e-12
-9.026999999999997,13.335,5.142e-12,5.244387072283071e-12
-9.021999999999998,13.34,6.084e-12,5.9557592371560185e-12
-9.016999999999998,13.345,7.196e-12,7.057055302898298e-12
-9.011999999999999,13.35,8.504e-12,8.296016000118851e-12
-9.006999999999998,13.355,1.004e-11,1.0218837499716428e-11
-9.001999999999999,13.36,1.185e-11,1.1831477103428269e-11
-8.996999999999998,13.365,1.398e-11,1.4187685321788667e-11
-8.991999999999999,13.37,1.648e-11,1.6791908135039494e-11
-8.986999999999998,13.375,1.941e-11,1.9366896977232786e-11
-8.981999999999998,13.38,2.285e-11,2.2631981862827192e-11
-8.976999999999999,13.385,2.688e-11,2.7332771743008204e-11
-8.971999999999998,13.39,3.16e-11,3.204011153554197e-11
-8.966999999999999,13.395,3.712e-11,3.777284848704553e-11
-8.961999999999998,13.4,4.358e-11,4.288005404483998e-11
-8.956999999999999,13.405,5.113e-11,4.9623387074085297e-11
-8.951999999999998,13.41,5.995e-11,5.862923772797262e-11
-8.947,13.415,7.024e-11,7.22562845282396e-11
-8.941999999999998,13.42,8.225e-11,8.2169033097908e-11
-8.936999999999998,13.425,9.624e-11,9.73505800623719e-11
-8.931999999999999,13.43,1.125e-10,1.1112729324348562e-10
-8.926999999999998,13.435,1.315e-10,1.3490987906220152e-10
-8.921999999999999,13.44,1.536e-10,1.4976471035784412e-10
-8.916999999999998,13.445,1.792e-10,1.7614791412119298e-10
-8.911999999999999,13.45,2.09e-10,2.0963610748751641e-10
-8.906999999999998,13.455,2.436e-10,2.384309645533827e-10
-8.901999999999997,13.46,2.838e-10,2.7771122165038546e-10
-8.896999999999998,13.465,3.303e-10,3.3041882155532346e-10
-8.891999999999998,13.47,3.842e-10,3.749580176616598e-10
-8.886999999999999,13.475,4.466e-10,4.3674202759051576e-10
-8.881999999999998,13.48,5.188e-10,5.18632754360422e-10
-8.876999999999999,13.485,6.022e-10,6.041216409843076e-10
-8.871999999999998,13.49,6.987e-10,7.035297609193726e-10
-8.866999999999999,13.495,8.1e-10,8.088678276535117e-10
-8.861999999999998,13.5,9.385e-10,9.645901813487844e-10
-8.856999999999998,13.505,1.087e-09,1.101874922964417e-09
-8.851999999999999,13.51,1.257e-09,1.2724632923348727e-09
-8.846999999999998,13.515,1.454e-09,1.457122921363324e-09
-8.841999999999999,13.52,1.68e-09,1.6686460991792166e-09
-8.836999999999998,13.525,1.94e-09,1.9272973520256004e-09
-8.831999999999999,13.53,2.238e-09,2.2476047246096856e-09
-8.826999999999998,13.535,2.582e-09,2.5510009671923765e-09
-8.822,13.54,2.975e-09,3.0082663474867346e-09
-8.816999999999998,13.545,3.427e-09,3.5079848659861364e-09
-8.811999999999998,13.55,3.944e-09,3.830600028262157e-09
-8.806999999999999,13.555,4.536e-09,4.635829474972532e-09
-8.801999999999998,13.56,5.214e-09,5.292635810306364e-09
-8.796999999999999,13.565,5.99e-09,5.859377586453777e-09
-8.791999999999998,13.57,6.876e-09,6.76755977406195e-09
-8.786999999999999,13.575,7.888e-09,8.040188525208364e-09
-8.781999999999998,13.58,9.042e-09,8.962825299338402e-09
-8.776999999999997,13.585,1.036e-08,1.0092539214201674e-08
-8.771999999999998,13.59,1.186e-08,1.2144843034665254e-08
-8.766999999999998,13.595,1.357e-08,1.3715712135425043e-08
-8.761999999999999,13.6,1.552e-08,1.5453359370406712e-08
-8.756999999999998,13.605,1.773e-08,1.798408367437353e-08
-8.751999999999999,13.61,2.025e-08,2.0759172129118393e-08
-8.746999999999998,13.615,2.311e-08,2.241964559071778e-08
-8.741999999999999,13.62,2.635e-08,2.713805140992432e-08
-8.736999999999998,13.625,3.003e-08,3.087446395439523e-08
-8.731999999999998,13.63,3.42e-08,3.462744059467063e-08
-8.726999999999999,13.635,3.893e-08,3.884535219871711e-08
-8.721999999999998,13.64,4.428e-08,4.530906346107077e-08
-8.716999999999999,13.645,5.033e-08,4.943542816182142e-08
-8.711999999999998,13.65,5.717e-08,5.597078584726403e-08
-8.706999999999999,13.655,6.49e-08,6.500672023206468e-08
-8.701999999999998,13.66,7.362e-08,7.577999483553543e-08
-8.697,13.665,8.347e-08,8.283081840741909e-08
-8.691999999999998,13.67,9.456e-08,9.259284017571974e-08
-8.686999999999998,13.675,1.071e-07,1.0808694400907039e-07
-8.681999999999999,13.68,1.211e-07,1.2020462908854786e-07
-8.676999999999998,13.685,1.37e-07,1.4069390624992732e-07
-8.671999999999999,13.69,1.548e-07,1.520243150174318e-07
-8.666999999999998,13.695,1.748e-07,1.781327424781756e-07
-8.661999999999999,13.7,1.973e-07,1.9605481740383396e-07
-8.656999999999998,13.705,2.225e-07,2.2636755301879833e-07
-8.651999999999997,13.71,2.507e-07,2.5372734142645417e-07
-8.646999999999998,13.715,2.824e-07,2.814605858983946e-07
-8.641999999999998,13.72,3.179e-07,3.2131064960102963e-07
-8.636999999999999,13.725,3.576e-07,3.49788204566722e-07
-8.631999999999998,13.73,4.019e-07,4.057141673204988e-07
-8.626999999999999,13.735,4.515e-07,4.445879090168011e-07
-8.621999999999998,13.74,5.069e-07,4.972686885307697e-07
-8.616999999999999,13.745,5.687e-07,5.789203232949959e-07
-8.611999999999998,13.75,6.376e-07,6.427453664111132e-07
-8.606999999999998,13.755,7.144e-07,6.936989626580411e-07
-8.601999999999999,13.76,8e-07,8.095004585592926e-07
-8.596999999999998,13.765,8.951e-07,8.974449427379882e-07
-8.591999999999999,13.77,1.001e-06,1.0088004524789312e-06
-8.586999999999998,13.775,1.119e-06,1.0941095985691152e-06
-8.581999999999999,13.78,1.249e-06,1.2170009693729746e-06
-8.576999999999998,13.785,1.394e-06,1.4189935179715258e-06
-8.572,13.79,1.555e-06,1.5515815668417211e-06
-8.566999999999998,13.795,1.734e-06,1.724058067224926e-06
-8.561999999999998,13.8,1.931e-06,1.9507569206050454e-06
-8.556999999999999,13.805,2.15e-06,2.213114333482701e-06
-8.551999999999998,13.81,2.392e-06,2.3549972701649164e-06
-8.546999999999999,13.815,2.659e-06,2.664944290058822e-06
-8.541999999999998,13.82,2.954e-06,3.032304799669781e-06
-8.536999999999999,13.825,3.28e-06,3.1878663366936622e-06
-8.531999999999998,13.83,3.64e-06,3.5822700357432107e-06
-8.526999999999997,13.835,4.036e-06,4.056380051390214e-06
-8.521999999999998,13.84,4.473e-06,4.369898468606055e-06
-8.516999999999998,13.845,4.953e-06,4.832025073597181e-06
-8.511999999999999,13.85,5.482e-06,5.598698156647415e-06
-8.506999999999998,13.855,6.063e-06,6.201561030696477e-06
-8.501999999999999,13.86,6.702e-06,6.5711873084313185e-06
-8.496999999999998,13.865,7.403e-06,7.253819358061447e-06
-8.491999999999999,13.87,8.172e-06,8.012861142814475e-06
-8.486999999999998,13.875,9.016e-06,8.764023095477231e-06
-8.481999999999998,13.88,9.94e-06,9.947391276596486e-06
-8.476999999999999,13.885,1.095e-05,1.0837813219270112e-05
-8.471999999999998,13.89,1.206e-05,1.2352730940473527e-05
-8.466999999999999,13.895,1.327e-05,1.3545072373141652e-05
-8.461999999999998,13.9,1.459e-05,1.5020186105118465e-05
-8.456999999999999,13.905,1.604e-05,1.5809208485341157e-05
-8.451999999999998,13.91,1.761e-05,1.7110931127296635e-05
-8.447,13.915,1.933e-05,1.9130107623982312e-05
-8.441999999999998,13.92,2.12e-05,2.1719265291466563e-05
-8.436999999999998,13.925,2.324e-05,2.3390634966409236e-05
-8.431999999999999,13.93,2.546e-05,2.4923116989952148e-05
