epsilon_meV,eDcp_epsilon,eDcp_epsilon_prime
-39.67624164195,0.0,0.0
-39.610059420695706,0.0,0.0
-39.54387719944141,0.0,0.0
-39.47769497818712,0.0,0.0
-39.41151275693282,0.0,1.5e-323
-39.34533053567852,0.0,8e-323
-39.279148314424226,0.0,1.04e-322
-39.21296609316993,0.0,4.7e-322
-39.14678387191564,0.0,2.204e-321
-39.08060165066134,0.0,9.837e-321
-39.01441942940705,0.0,3.9338e-320
-38.948237208152754,0.0,1.77375e-319
-38.88205498689846,0.0,2.27137e-319
-38.81587276564416,0.0,9.22574e-319
-38.749690544389864,0.0,3.7784e-318
-38.68350832313557,0.0,1.486724e-317
-38.617326101881275,0.0,5.3038604e-317
-38.55114388062698,0.0,2.19731373e-316
-38.484961659372686,0.0,2.8882795e-316
-38.41877943811839,0.0,1.15777148e-315
-38.3525972168641,0.0,4.896629226e-315
-38.2864149956098,0.0,1.977347704e-314
-38.2202327743555,0.0,7.252925441e-314
-38.15405055310121,0.0,3.0498944895e-313
-38.08786833184691,0.0,3.98933352424e-313
-38.02168611059262,0.0,1.61764510099e-312
-37.955503889338324,0.0,6.840591867087e-312
-37.88932166808403,0.0,2.7875578193853e-311
-37.823139446829735,0.0,1.0281835768931e-310
-37.75695722557544,0.0,4.32173917415244e-310
-37.69077500432114,0.0,5.65348466931875e-310
-37.624592783066845,0.0,2.301769435509815e-309
-37.55841056181255,0.0,9.747462152539223e-309
-37.492228340558256,0.0,4.0040218790229166e-308
-37.42604611930396,0.0,1.5042292455348685e-307
-37.35986389804967,0.0,6.526183884094215e-307
-37.29368167679537,0.0,8.474535778667907e-307
-37.22749945554108,0.0,3.577699998784958e-306
-37.161317234286784,0.0,1.589237002442903e-305
-37.09513501303248,0.0,6.982809585960551e-305
-37.02895279177819,0.0,2.772240545077323e-304
-36.962770570523894,0.0,1.269633262200602e-303
-36.8965883492696,0.0,1.625440383425048e-303
-36.830406128015305,0.0,7.212167738018611e-303
-36.76422390676101,0.0,3.348822872196568e-302
-36.698041685506716,0.0,1.5259537331245183e-301
-36.631859464252415,0.0,6.2731069380321e-301
-36.56567724299812,0.0,2.9784035760885253e-300
-36.499495021743826,0.0,3.775938443319589e-300
-36.43331280048953,0.0,1.7356242186803685e-299
-36.36713057923524,0.0,8.331683954503911e-299
-36.30094835798094,0.0,3.891307905754691e-298
-36.23476613672665,0.0,1.6647230686352786e-297
-36.168583915472354,0.0,8.272449297236131e-297
-36.10240169421806,0.0,1.036890956335996e-296
-36.03621947296376,0.0,4.97217512598796e-296
-35.97003725170946,0.0,2.5305732495824017e-295
-35.90385503045517,0.0,1.24334346885287e-294
-35.837672809200875,0.0,5.4029981013363326e-294
-35.77149058794658,0.0,2.6426686676510457e-293
-35.705308366692286,0.0,3.3160272626048545e-293
-35.63912614543799,0.0,1.547107451790116e-292
-35.5729439241837,0.0,7.50905239801154e-292
-35.506761702929396,0.0,3.508492667791867e-291
-35.4405794816751,0.0,1.456335685700724e-290
-35.37439726042081,0.0,7.024357788318781e-290
-35.30821503916651,0.0,8.859570273330298e-290
-35.24203281791222,0.0,4.0866443451361355e-289
-35.175850596657924,0.0,1.9799030524181123e-288
-35.10966837540363,0.0,9.281157736564548e-288
-35.043486154149335,0.0,3.840788801974579e-287
-34.97730393289504,0.0,1.8367365283770077e-286
-34.91112171164074,0.0,2.320920020753931e-286
-34.844939490386444,0.0,1.0705309741894305e-285
-34.77875726913215,0.0,5.1460798639545456e-285
-34.712575047877856,0.0,2.390836234935076e-284
-34.64639282662356,0.0,9.905905667409874e-284
-34.58021060536927,0.0,4.733217714791226e-283
-34.51402838411497,0.0,5.983313153242112e-283
-34.44784616286068,0.0,2.8055163280810804e-282
-34.38166394160638,0.0,1.3318686216144692e-281
-34.31548172035208,0.0,5.3296703881554294e-281
-34.24929949909779,0.0,2.5020399669774675e-280
-34.18311727784349,0.0,1.191959358299408e-279
-34.1169350565892,0.0,1.508186122586403e-279
-34.050752835334904,0.0,7.039514069464174e-279
-33.98457061408061,0.0,3.333896418963201e-278
-33.918388392826316,0.0,1.334902217408104e-277
-33.85220617157202,0.0,6.255582255872288e-277
-33.78602395031772,0.0,2.9523679746591557e-276
-33.719841729063425,0.0,3.76258345358181e-276
-33.65365950780913,0.0,1.7511215574526492e-275
-33.58747728655484,0.0,8.289701484393588e-275
-33.52129506530054,0.0,3.3202118548985064e-274
-33.45511284404625,0.0,1.5573775627837095e-273
-33.38893062279195,0.0,7.150186829058309e-273
-33.32274840153765,0.0,9.34594129363383e-273
-33.25656618028336,0.0,4.3725320930836575e-272
-33.19038395902906,0.0,2.061197336171693e-271
-33.12420173777477,0.0,8.245679672980718e-271
-33.058019516520474,0.0,3.872030069668339e-270
-32.99183729526618,0.0,1.7801250828646317e-269
-32.925655074011885,0.0,2.3258076356366114e-269
-32.85947285275759,0.0,1.0864370614194385e-268
-32.7932906315033,0.0,5.149800445970092e-268
-32.727108410249,0.0,2.0649577379949385e-267
-32.6609261889947,0.0,9.684724810766205e-267
-32.594743967740406,0.0,4.432235821718046e-266
-32.52856174648611,0.0,5.7979881689298456e-266
-32.46237952523182,0.0,2.71383735609806e-265
-32.39619730397752,0.0,1.277555120029809e-264
-32.33001508272323,0.0,5.094934528871835e-264
-32.263832861468934,0.0,2.3834860932055682e-263
-32.19765064021463,0.0,1.0881000004734405e-262
-32.13146841896034,0.0,1.4244390796586065e-262
-32.065286197706044,0.0,6.660024014019271e-262
-31.99910397645175,0.0,3.1342804433128156e-261
-31.932921755197455,0.0,1.2475109375883277e-260
-31.86673953394316,0.0,5.84924412048322e-260
-31.800557312688866,0.0,2.6861979424694966e-259
-31.734375091434572,0.0,3.5070133047684195e-259
-31.668192870180274,0.0,1.6450808893346752e-258
-31.60201064892598,0.0,7.742335305301357e-258
-31.53582842767168,0.0,3.083503552704433e-257
-31.469646206417387,0.0,1.4492195628585804e-256
-31.403463985163093,0.0,6.615390035944812e-256
-31.3372817639088,0.0,8.649654309139212e-256
-31.271099542654504,0.0,4.019960432694609e-255
-31.20491732140021,0.0,1.8966437212339398e-254
-31.138735100145915,0.0,7.583270099537496e-254
-31.072552878891617,0.0,3.5553493015004534e-253
-31.006370657637323,0.0,1.6252003398427004e-252
-30.940188436383025,0.0,2.1246629530896204e-252
-30.87400621512873,0.0,9.903264035211942e-252
-30.807823993874436,0.0,4.641005714752932e-251
-30.74164177262014,0.0,1.8426184821423643e-250
-30.675459551365847,0.0,8.612308261378308e-250
-30.609277330111553,0.0,3.9345201605709735e-249
-30.543095108857255,0.0,5.144004915585571e-249
-30.47691288760296,0.0,2.3959803077037923e-248
-30.410730666348663,0.0,1.1248783813613665e-247
-30.344548445094368,0.0,4.501400261593754e-247
-30.278366223840074,0.0,2.1246359100952027e-246
-30.21218400258578,0.0,1.0195249719634387e-245
-30.146001781331485,0.0,1.318428976252619e-245
-30.07981956007719,0.0,6.49926838484113e-245
-30.013637338822893,0.0,3.195322618351445e-244
-29.947455117568598,0.0,1.3294243239401074e-243
-29.8812728963143,0.0,6.402162808660726e-243
-29.815090675060006,0.0,2.9896023395527484e-242
-29.74890845380571,0.0,3.886204268743926e-242
-29.682726232551417,0.0,1.8613698487170404e-241
-29.616544011297123,0.0,9.011536179329734e-241
-29.550361790042828,0.0,3.7140699468330227e-240
-29.484179568788534,0.0,1.8013879773478753e-239
-29.417997347534236,0.0,2.267556481257533e-239
-29.35181512627994,0.0,1.08813312476588e-238
-29.285632905025643,0.0,5.188906744443999e-238
-29.21945068377135,0.0,2.49770621450806e-237
-29.153268462517055,0.0,1.0251884081867418e-236
-29.08708624126276,0.0,4.96161101062664e-236
-29.020904020008466,0.0,6.249390215130903e-236
-28.95472179875417,0.0,2.9935150471520593e-235
-28.888539577499873,0.0,1.425211703378787e-234
-28.82235735624558,0.0,6.707052854597233e-234
-28.75617513499128,0.0,2.8323009516828968e-233
-28.689992913736987,0.0,1.3720983799454206e-232
-28.623810692482692,0.0,1.7276709076084316e-232
-28.557628471228398,0.0,8.30370423390997e-232
-28.491446249974103,0.0,3.962918867235728e-231
-28.42526402871981,0.0,1.8643433844065578e-230
-28.359081807465515,0.0,7.910844791749234e-230
-28.292899586211217,0.0,3.827911856904584e-229
-28.226717364956922,0.0,4.8198261768907885e-229
-28.160535143702624,0.0,2.3129735473190644e-228
-28.09435292244833,0.0,1.1176109992570569e-227
-28.028170701194036,0.0,5.347500087730467e-227
-27.96198847993974,0.0,2.293112911631163e-226
-27.895806258685447,0.0,1.1526365214205613e-225
-27.829624037431152,0.0,1.437870390612814e-225
-27.763441816176854,0.0,7.165188205736358e-225
-27.69725959492256,0.0,3.7076918982800635e-224
-27.631077373668262,0.0,1.7344080596544582e-223
-27.564895152413968,0.0,6.881249894221076e-223
-27.498712931159673,0.0,3.1555569616084286e-222
-27.43253070990538,0.0,4.0256338810830864e-222
-27.366348488651084,0.0,1.7918202083930506e-221
-27.30016626739679,0.0,8.40709665349151e-221
-27.233984046142492,0.0,3.800816201516962e-220
-27.167801824888198,0.0,1.5465510461164703e-219
-27.1016196036339,0.0,7.234494173024956e-219
-27.035437382379605,0.0,9.184001582914315e-219
-26.96925516112531,0.0,4.1617900624522405e-218
-26.903072939871016,0.0,1.978899531245108e-217
-26.836890718616722,0.0,8.994573818474374e-217
-26.770708497362428,0.0,3.715491501808781e-216
-26.704526276108133,0.0,1.7391606478339776e-215
-26.638344054853835,0.0,2.2068393228188393e-215
-26.57216183359954,0.0,1.0008775650737653e-214
-26.505979612345243,0.0,4.728883590611507e-214
-26.43979739109095,0.0,2.1624412483241295e-213
-26.373615169836654,0.0,8.919336183442752e-213
-26.30743294858236,0.0,4.191309402101315e-212
-26.241250727328065,0.0,5.313104793564755e-212
-26.17506850607377,0.0,2.426455802273339e-211
-26.108886284819473,0.0,1.1459844504025683e-210
-26.04270406356518,0.0,5.232734619962642e-210
-25.97652184231088,0.0,2.1489600970873903e-209
-25.910339621056586,0.0,1.017124474705919e-208
-25.84415739980229,0.0,1.2903208298311374e-208
-25.777975178547997,0.0,5.9066139858328705e-208
-25.711792957293703,0.0,2.7989204173052417e-207
-25.64561073603941,0.0,1.27531359917946e-206
-25.57942851478511,0.0,5.211063565041455e-206
-25.513246293530816,0.0,2.4778419819620533e-205
-25.447064072276522,0.0,3.1411372881835856e-205
-25.380881851022224,0.0,1.4374182660350046e-204
-25.31469962976793,0.0,6.804464057968939e-204
-25.248517408513635,0.0,3.107000504058011e-203
-25.18233518725934,0.0,1.2756052288192981e-202
-25.116152966005046,0.0,6.031405022165098e-202
-25.049970744750752,0.0,7.653077614183544e-202
-24.983788523496454,0.0,3.463920795153188e-201
-24.91760630224216,0.0,1.6404631716548562e-200
-24.85142408098786,0.0,7.510702963919038e-200
-24.785241859733567,0.0,3.0841949271685287e-199
-24.719059638479273,0.0,1.4554989288784355e-198
-24.65287741722498,0.0,1.847593425946526e-198
-24.586695195970684,0.0,8.379365158269545e-198
-24.52051297471639,0.0,3.980028013029467e-197
-24.45433075346209,0.0,1.8233322210713188e-196
-24.388148532207797,0.0,7.469463392098419e-196
-24.3219663109535,0.0,3.528314040416673e-195
-24.255784089699205,0.0,4.472723724855053e-195
-24.18960186844491,0.0,2.0236122048130237e-194
-24.123419647190616,0.0,9.620199318891919e-194
-24.05723742593632,0.0,4.405308539528564e-193
-23.991055204682027,0.0,1.8024481690659043e-192
-23.924872983427733,0.0,8.508152647194158e-192
-23.858690762173435,0.0,1.078776488478255e-191
-23.79250854091914,0.0,4.8931462994959047e-191
-23.726326319664842,0.0,2.322969860891604e-190
-23.660144098410548,0.0,1.0603587745120935e-189
-23.593961877156254,0.0,4.324339262976223e-189
-23.52777965590196,0.0,2.0426512355686207e-188
-23.461597434647665,0.0,2.590456678828525e-188
-23.395415213393367,0.0,1.177847186616964e-187
-23.329232992139072,0.0,5.593384051856494e-187
