omega_meV,Dcp,A_electronica,B_electronica
0.0,0.0,0.0,0.0
0.07951150629649299,4.050092268275907e-17,1.1123176684462166e-08,1.1123176683929108e-08
0.15902301259298599,1.0411880238520772e-17,1.1123172644505972e-08,1.1123172643439858e-08
0.23853451888947896,5.304171353456707e-18,1.1123168604549777e-08,1.1123168602950607e-08
0.31804602518597197,3.0119895214681223e-18,1.1123164564593584e-08,1.1123164562461355e-08
0.397557531482465,1.6544672159377753e-18,1.1123160524637389e-08,1.1123160521972105e-08
0.4770690377789579,8.596467188026792e-19,1.1123156484681194e-08,1.1123156481482852e-08
0.556580544075451,4.470034525546082e-19,1.1123152444725001e-08,1.1123152440993602e-08
0.6360920503719439,2.318201742610604e-19,1.1123148404768806e-08,1.1123148400504353e-08
0.7156035566684369,1.2011903411514449e-19,1.1123144364812613e-08,1.1123144360015101e-08
0.79511506296493,6.131754004139152e-20,1.1123140324856418e-08,1.112314031952585e-08
0.8746265692614229,3.291385717525368e-20,1.1123136284900225e-08,1.1123136279036601e-08
0.9541380755579159,1.6049804646884743e-20,1.112313224494403e-08,1.1123132238547348e-08
1.033649581854409,8.217843046676931e-21,1.1123128204987835e-08,1.1123128198058097e-08
1.113161088150902,3.938134346354363e-21,1.1123124165031644e-08,1.1123124157568845e-08
1.1926725944473948,1.963928097040751e-21,1.112312012507545e-08,1.1123120117079595e-08
1.2721841007438879,9.159883125288914e-22,1.1123116085119254e-08,1.1123116076590344e-08
1.351695607040381,4.381967128491327e-22,1.112311204516306e-08,1.1123112036101093e-08
1.4312071133368738,2.1260976224356753e-22,1.1123108005206866e-08,1.1123107995611841e-08
1.5107186196333668,1.0278937446006716e-22,1.1123103965250672e-08,1.1123103955122593e-08
1.59023012592986,4.933421351223561e-23,1.1123099925294479e-08,1.1123099914633341e-08
1.6697416322263527,2.3891022920903668e-23,1.1123095885338284e-08,1.112309587414409e-08
1.7492531385228458,1.1569229083070821e-23,1.1123091845382089e-08,1.1123091833654838e-08
1.8287646448193389,5.643153818574915e-24,1.1123087805425894e-08,1.1123087793165587e-08
1.9082761511158317,2.6297974337369708e-24,1.1123083765469701e-08,1.1123083752676337e-08
1.9877876574123248,1.2144911641126892e-24,1.112307972551351e-08,1.1123079712187086e-08
2.067299163708818,5.62249587152061e-25,1.1123075685557313e-08,1.1123075671697836e-08
2.1468106700053107,2.781326244853692e-25,1.1123071645601118e-08,1.1123071631208584e-08
2.226322176301804,1.271132252670869e-25,1.1123067605644923e-08,1.1123067590719333e-08
2.305833682598297,6.102385936195985e-26,1.112306356568873e-08,1.1123063550230083e-08
2.3853451888947896,2.8693163384298587e-26,1.1123059525732537e-08,1.1123059509740831e-08
2.464856695191283,1.362207672198234e-26,1.1123055485776342e-08,1.112305546925158e-08
2.5443682014877758,6.376506192151535e-27,1.112305144582015e-08,1.112305142876233e-08
2.6238797077842686,3.010007445983691e-27,1.1123047405863954e-08,1.1123047388273079e-08
