omega_meV,Dcp,A_electronica,B_electronica
0.0,0.0,0.0,0.0
0.022729850680857713,1.1374412187707599e-08,4.0742432934767607e-07,4.6245864299739715e-07
0.04545970136171543,1.4224157908498276e-09,3.824300040225247e-07,4.92723503230031e-07
0.06818955204257314,3.922824813556313e-10,3.5897363123653737e-07,5.249742409693012e-07
0.09091940272343085,1.7005412771401267e-10,3.369605797203772e-07,5.593411580758854e-07
0.11364925340428857,8.922264538402629e-11,3.163020406739895e-07,5.959631054588959e-07
0.13637910408514628,5.103825763725386e-11,2.9691466954576924e-07,6.349880438699437e-07
0.159108954766004,3.153205901707214e-11,2.7872024988013007e-07,6.765736414969052e-07
0.1818388054468617,2.1973494240886743e-11,2.6164537777972853e-07,7.208879107572368e-07
0.2045686561277194,1.6870191489591505e-11,2.456211658369457e-07,7.681098867980373e-07
0.22729850680857713,1.2840978438514026e-11,2.3058296527630985e-07,8.184303505744795e-07
0.25002835748943486,9.994908223808872e-12,2.1647010511129482e-07,8.720525992527474e-07
0.27275820817029256,8.283759770670366e-12,2.0322564747176986e-07,9.291932671441734e-07
0.29548805885115026,6.736544537363748e-12,1.9079615786461592e-07,9.900832005192745e-07
0.318217909532008,5.615179025190877e-12,1.7913148964724158e-07,1.0549683896930771e-06
0.3409477602128657,4.685883309397801e-12,1.681845817472232e-07,1.1241109622546057e-06
0.3636776108937234,3.898086721797362e-12,1.5791126877781072e-07,1.1977902413974883e-06
0.3864074615745811,3.1960083858373263e-12,1.4827010289773257e-07,1.2763038736190074e-06
0.4091373122554388,2.765278371286391e-12,1.392221865994119e-07,1.3599690303106337e-06
0.43186716293629657,2.362541944502653e-12,1.307310157844237e-07,1.4491236881183146e-06
0.45459701361715427,1.9586631916731814e-12,1.2276233251246966e-07,1.5441279931793912e-06
0.47732686429801197,1.644707063698774e-12,1.1528398676568319e-07,1.645365714767152e-06
0.5000567149788697,1.374827608025264e-12,1.0826580679956041e-07,1.7532457941955237e-06
0.5227865656597274,1.1851650748753666e-12,1.016794773642125e-07,1.8682039951066308e-06
0.5455164163405851,1.0405142252451114e-12,9.549842551457013e-08,1.990704661969887e-06
0.5682462670214429,9.11511343452891e-13,8.96977133857771e-08,2.121242593675887e-06
0.5909761177023005,8.072137298503201e-13,8.425393760796292e-08,2.2603450398490546e-06
0.6137059683831583,6.9715651486655e-13,7.91451348394387e-08,2.408573827890725e-06
0.636435819064016,6.003091100267745e-13,7.43506932329624e-08,2.566527629258615e-06
0.6591656697448737,5.520060618668847e-13,6.985126919091567e-08,2.7348443741170005e-06
0.6818955204257314,4.887485816606722e-13,6.562870942269611e-08,2.914203824000456e-06
0.7046253711065891,4.201414140461341e-13,6.166597761571557e-08,3.105330312852202e-06
0.7273552217874468,3.822500215887273e-13,5.794708575732581e-08,3.3089956673827683e-06
0.7500850724683046,3.7115187019561814e-13,5.4457029624558435e-08,3.5260223184444285e-06
0.7728149231491622,3.324418298372151e-13,5.1181728242786576e-08,3.7572866159664564e-06
0.79554477383002,3.1672673948665497e-13,4.8107967080194614e-08,4.0037223605237375e-06
0.8182746245108776,2.9917430467967656e-13,4.5223344717571834e-08,4.266324565887216e-06
0.8410044751917354,2.740182766155264e-13,4.251622284252747e-08,4.5461534673884015e-06
0.8637343258725931,2.458585673237302e-13,3.997567929056062e-08,4.844338792210469e-06
