omega_meV,Dcp,A_electronica,B_electronica
0.0,0.0,0.0,0.0
0.05260195400693387,9.654123803275786e-16,1.3944069702666263e-09,1.3944069701852606e-09
0.10520390801386774,2.8948224975471264e-16,1.3943931574921464e-09,1.394393157329415e-09
0.1578058620208016,1.8718655291152876e-16,1.3943793447176675e-09,1.3943793444735702e-09
0.21040781602773548,2.2214518824713835e-16,1.3943655319431885e-09,1.394365531617726e-09
0.26300977003466935,1.3089228680864223e-16,1.3943517191687092e-09,1.3943517187618809e-09
0.3156117240416032,1.098644898274012e-16,1.394337906394229e-09,1.3943379059060352e-09
0.3682136780485371,8.453600298031673e-17,1.3943240936197504e-09,1.3943240930501907e-09
0.42081563205547096,6.846172553767512e-17,1.3943102808452714e-09,1.394310280194346e-09
0.4734175860624048,5.187744303799408e-17,1.3942964680707913e-09,1.3942964673385007e-09
0.5260195400693387,4.838060986131037e-17,1.3942826552963124e-09,1.3942826544826554e-09
0.5786214940762726,4.2179250401873295e-17,1.3942688425218336e-09,1.394268841626811e-09
0.6312234480832064,3.771288078984266e-17,1.3942550297473535e-09,1.3942550287709654e-09
0.6838254020901403,3.383495241382888e-17,1.3942412169728742e-09,1.3942412159151205e-09
0.7364273560970742,3.0419403044432914e-17,1.3942274041983954e-09,1.394227403059276e-09
0.789029310104008,3.148155447068322e-17,1.3942135914239163e-09,1.3942135902034314e-09
0.8416312641109419,2.0791784423074444e-17,1.3941997786494366e-09,1.3941997773475857e-09
0.8942332181178758,2.126675284585361e-17,1.3941859658749576e-09,1.394185964491741e-09
0.9468351721248096,2.1922996973101596e-17,1.3941721531004783e-09,1.3941721516358959e-09
0.9994371261317435,2.0008652461141007e-17,1.3941583403259984e-09,1.3941583387800506e-09
1.0520390801386774,1.908751513157667e-17,1.3941445275515194e-09,1.394144525924206e-09
1.1046410341456112,2.0550007622993237e-17,1.3941307147770407e-09,1.3941307130683614e-09
1.1572429881525452,2.125243438623912e-17,1.3941169020025612e-09,1.3941169002125165e-09
1.209844942159479,1.68836836680125e-17,1.3941030892280811e-09,1.3941030873566706e-09
1.2624468961664128,1.6006062613295643e-17,1.3940892764536023e-09,1.3940892745008261e-09
1.3150488501733468,1.5072441068334272e-17,1.3940754636791234e-09,1.3940754616449813e-09
1.3676508041802806,1.430188053060281e-17,1.3940616509046435e-09,1.394061648789136e-09
1.4202527581872144,1.2784948676576567e-17,1.3940478381301643e-09,1.394047835933291e-09
1.4728547121941484,1.3399589470356329e-17,1.394034025355685e-09,1.3940340230774464e-09
1.5254566662010822,1.2116834886801247e-17,1.3940202125812055e-09,1.3940202102216009e-09
1.578058620208016,1.153852155461384e-17,1.3940063998067263e-09,1.394006397365756e-09
1.63066057421495,1.067254816433467e-17,1.3939925870322474e-09,1.3939925845099115e-09
1.6832625282218838,1.0015934280208478e-17,1.3939787742577681e-09,1.3939787716540666e-09
1.7358644822288176,9.733482429762922e-18,1.3939649614832887e-09,1.3939649587982211e-09
1.7884664362357516,8.887062007531728e-18,1.3939511487088092e-09,1.3939511459423764e-09
1.8410683902426854,8.181077094903183e-18,1.3939373359343303e-09,1.3939373330865315e-09
1.8936703442496192,7.841823137952031e-18,1.3939235231598505e-09,1.3939235202306862e-09
1.9462722982565532,7.46038970605276e-18,1.3939097103853714e-09,1.3939097073748411e-09
1.998874252263487,7.20323676148142e-18,1.3938958976108925e-09,1.3940100384525146e-09
2.051476206270421,6.557179161767564e-18,1.3938820848364125e-09,1.394263230662267e-09
2.104078160277355,6.18227342272219e-18,1.3938682720619332e-09,1.3945340641176696e-09
2.156680114284289,5.748556683010352e-18,1.3938544592874543e-09,1.3948242186028296e-09
2.2092820682912224,5.332865385169371e-18,1.3938406465129755e-09,1.3951353733224684e-09
2.2618840222981564,5.023131228029029e-18,1.3938268337384956e-09,1.3954683648733843e-09
2.3144859763050905,4.768593116994219e-18,1.3938130209640163e-09,1.3958248715187992e-09
2.367087930312024,4.4815409124315065e-18,1.393799208189537e-09,1.3962065709425472e-09
2.419689884318958,4.196689797759403e-18,1.3937853954150574e-09,1.3966151402490777e-09
2.472291838325892,3.903183059030885e-18,1.3937715826405783e-09,1.3970530977023003e-09
2.5248937923328256,3.645618894326849e-18,1.3937577698660995e-09,1.397521277364203e-09
2.5774957463397596,3.4270671186276953e-18,1.3937439570916202e-09,1.398022196195076e-09
2.6300977003466937,3.1951521524385812e-18,1.39373014431714e-09,1.3985583702861329e-09
2.6826996543536272,3.0087311013721326e-18,1.3937163315426617e-09,1.399132314859511e-09
2.7353016083605612,2.7968273377359044e-18,1.3937025187681822e-09,1.399745702891537e-09
2.7879035623674953,2.6349697146360243e-18,1.3936887059937025e-09,1.4004027306920702e-09
2.840505516374429,2.445711001260403e-18,1.3936748932192232e-09,1.4011042281949787e-09
2.893107470381363,2.2964611331805534e-18,1.3936610804447446e-09,1.401855230841732e-09
2.945709424388297,2.1349958643952975e-18,1.393647267670264e-09,1.4026582490745343e-09
2.9983113783952304,2.004570389330469e-18,1.3936334548957852e-09,1.4035166334811276e-09
3.0509133324021644,1.8802018645856192e-18,1.3936196421213064e-09,1.4044345744326708e-09
3.1035152864090985,1.7649775564748465e-18,1.3936058293468271e-09,1.4054154199820921e-09
3.156117240416032,1.6282450362323688e-18,1.3935920165723474e-09,1.4064641986182357e-09
3.208719194422966,1.5045629170932998e-18,1.3935782037978682e-09,1.4075859370917924e-09
3.2613211484299,1.3952925883097744e-18,1.393564391023389e-09,1.4087848197627956e-09
3.3139231024368336,1.3015897744044306e-18,1.3935505782489092e-09,1.410065870122891e-09
3.3665250564437676,1.2217938660007451e-18,1.39353676547443e-09,1.41143579094087e-09
3.4191270104507017,1.1326024996221807e-18,1.3935229526999513e-09,1.4128996017975262e-09
3.4717289644576352,1.0591685357575868e-18,1.3935091399254722e-09,1.414464001261105e-09
3.5243309184645693,9.798413476330482e-19,1.3934953271509921e-09,1.41613568558231e-09
3.5769328724715033,9.088121314213674e-19,1.3934815143765133e-09,1.4179221889122644e-09
3.629534826478437,8.444240746606492e-19,1.3934677016020342e-09,1.4198318829403873e-09
3.682136780485371,7.889268735722567e-19,1.3934538888275546e-09,1.4218722963860604e-09
3.734738734492305,7.363447522989059e-19,1.3934400760530753e-09,1.4240526353628094e-09
3.7873406884992384,6.851981343515668e-19,1.3934262632785962e-09,1.4263821027975385e-09
3.8399426425061725,6.403964715715131e-19,1.3934124505041161e-09,1.4288715781422159e-09
3.8925445965131065,5.954071378449914e-19,1.3933986377296373e-09,1.4315310972993873e-09
3.94514655052004,5.527859747314974e-19,1.3933848249551584e-09,1.4343732118282717e-09
3.997748504526974,5.168474833399001e-19,1.3933710121806792e-09,1.4374096293041237e-09
4.050350458533908,4.803845697670916e-19,1.393357199406199e-09,1.4406537323788e-09
4.102952412540842,4.485130138033712e-19,1.3933433866317198e-09,1.4441197385628012e-09
4.155554366547776,4.1771028867382865e-19,1.3933295738572403e-09,1.447823539284455e-09
4.20815632055471,3.9136871063253207e-19,1.3933157610827604e-09,1.451779341770169e-09
4.260758274561644,3.6930111340483016e-19,1.3933019483082808e-09,1.4560063839803152e-09
4.313360228568578,3.4608998486080296e-19,1.3932881355338017e-09,1.4605222188042653e-09
4.365962182575511,3.247367640027869e-19,1.3932743227593214e-09,1.465346910442673e-09
4.418564136582445,3.035597686324797e-19,1.3932605099848417e-09,1.4705005161435716e-09
4.471166090589379,2.827441197170221e-19,1.3932466972103627e-09,1.4760064421494206e-09
4.523768044596313,2.644192159066519e-19,1.3932328844358828e-09,1.4818880865912841e-09
4.576369998603247,2.4796774180620087e-19,1.393219071661403e-09,1.488172194856501e-09
4.628971952610181,2.330654561640455e-19,1.3932052588869232e-09,1.4948846642927497e-09
4.681573906617114,2.190794653613205e-19,1.3931914461124435e-09,1.5020555767525888e-09
4.734175860624048,2.054560740934679e-19,1.3931776333379632e-09,1.5097158422842875e-09
4.786777814630982,1.9346296857523083e-19,1.3931638205634833e-09,1.5178988758741603e-09
4.839379768637916,1.8168818985589893e-19,1.393150007789004e-09,1.5266397578804144e-09
4.89198172264485,1.6967702804789054e-19,1.3931361950145242e-09,1.5359777485310555e-09
4.944583676651784,1.6008100265486475e-19,1.3931223822400435e-09,1.5459529327734874e-09
4.997185630658717,1.50351993123489e-19,1.3931085694655638e-09,1.5566078964374622e-09
5.049787584665651,1.4163345713312247e-19,1.3930947566910839e-09,1.5679902397190526e-09
5.102389538672585,1.3233682113627111e-19,1.3930809439166034e-09,1.5801483844195346e-09
5.154991492679519,1.2448176847181663e-19,1.393067131142123e-09,1.5931357638095822e-09
5.207593446686453,1.1819166913289392e-19,1.3930533183676434e-09,1.6070091445108937e-09
5.260195400693387,1.1297054228698534e-19,1.3930395055931623e-09,1.6218286250477245e-09
5.31279735470032,1.0656402674488373e-19,1.3930256928186822e-09,1.6376584722264242e-09
