epsilon_meV,eDcp_epsilon,eDcp_epsilon_prime
-11.342195489747999,0.0,1.6146165290613213e-17
-11.323276064410638,0.0,1.7022839020063925e-17
-11.304356639073276,1.4029779034121356e-21,1.7946881610646928e-17
-11.285437213735916,4.40584244941477e-21,1.892105083660587e-17
-11.266517788398554,9.119409206379963e-21,1.9949012393855513e-17
-11.247598363061194,1.6060275101936338e-20,2.103162830602783e-17
-11.228678937723831,1.6916160560811184e-20,2.2173735672749505e-17
-11.209759512386471,2.645877655573723e-20,2.3377314854235567e-17
-11.190840087049109,3.8594405735536076e-20,2.4646964783654867e-17
-11.171920661711749,5.4151425058272245e-20,2.5984956372621165e-17
-11.153001236374388,7.186776625788236e-20,2.7395937724147992e-17
-11.134081811037026,9.18087778802115e-20,2.888301816547724e-17
-11.115162385699666,9.678998601831108e-20,3.045204712743763e-17
-11.096242960362304,1.2024471049205707e-19,3.2104661201593e-17
-11.077323535024943,1.4620173503527052e-19,3.384742227603451e-17
-11.058404109687581,1.744511763917025e-19,3.568586053238472e-17
-11.03948468435022,2.0493347763483242e-19,3.7623114779820597e-17
-11.02056525901286,2.3873196203721993e-19,3.966607824194038e-17
-11.001645833675498,2.516881434139474e-19,4.181908257453962e-17
-10.982726408338138,2.9075167966151353e-19,4.409000201238839e-17
-10.963806983000776,3.3264537597082485e-19,4.6483863825410166e-17
-10.944887557663415,3.7823349771085055e-19,4.900717164682008e-17
-10.925968132326053,4.253346053548454e-19,5.166850454816632e-17
-10.907048706988693,4.754370698201179e-19,5.447341780386128e-17
-10.88812928165133,5.011275796830233e-19,5.743117638433303e-17
-10.86920985631397,5.559202137001236e-19,6.054929259918216e-17
-10.85029043097661,6.139322782692941e-19,6.383655416660604e-17
-10.831371005639248,6.770136027030985e-19,6.730215809766054e-17
-10.812451580301888,7.42203321702178e-19,7.095617186703913e-17
-10.793532154964526,8.124772028602645e-19,7.48087366156939e-17
-10.774612729627165,8.571961645213269e-19,7.887044051451434e-17
-10.755693304289803,9.350678981454746e-19,8.315272770201646e-17
-10.736773878952443,1.0186315172530732e-18,8.766719325210647e-17
-10.717854453615082,1.1084684846222441e-18,9.242695259972929e-17
-10.69893502827772,1.2034209514942551e-18,9.744500421090088e-17
-10.68001560294036,1.3076747794495845e-18,1.0273554787048494e-16
-10.661096177602998,1.3782569753390287e-18,1.0831352159960555e-16
-10.642176752265637,1.4963504065943626e-18,1.1419418126646175e-16
-10.623257326928275,1.6252049402360988e-18,1.2039425911637636e-16
-10.604337901590915,1.766435791986305e-18,1.2693029131175745e-16
-10.585418476253553,1.9252619799574277e-18,1.3382183829134684e-16
-10.566499050916192,2.093226143607784e-18,1.410876142831684e-16
-10.547579625578832,2.2063946945381768e-18,1.4874744400091232e-16
-10.52866020024147,2.3942041169020705e-18,1.5682411028574186e-16
-10.50974077490411,2.5912802559083716e-18,1.6533801969680437e-16
-10.490821349566748,2.7972535396639457e-18,1.7431522524708772e-16
-10.471901924229387,3.0153867275372343e-18,1.8377928235438425e-16
-10.452982498892025,3.247126011257109e-18,1.9375698008582133e-16
-10.434063073554665,3.4228582091918507e-18,2.0427667340165137e-16
-10.415143648217303,3.686969772215162e-18,2.1536742160582548e-16
-10.396224222879942,3.9645191406751824e-18,2.2706042368033595e-16
-10.377304797542582,4.253314079529421e-18,2.393884790208736e-16
-10.35838537220522,4.5616172177103995e-18,2.523850077278187e-16
-10.33946594686786,4.889563760260288e-18,2.660878054520502e-16
-10.320546521530497,5.153688140654378e-18,2.8053493830864785e-16
-10.301627096193137,5.518953661673552e-18,2.957658413972092e-16
-10.282707670855775,5.908354105088663e-18,3.118235922336185e-16
-10.263788245518414,6.3189671251237095e-18,3.287541002192972e-16
-10.244868820181054,6.754432135505138e-18,3.466032704496879e-16
-10.225949394843692,7.21596819008193e-18,3.654216551167118e-16
-10.207029969506332,7.607661768821218e-18,3.8526123701401666e-16
-10.18811054416897,8.126535262462452e-18,4.0617823638178735e-16
-10.169191118831609,8.676348590975969e-18,4.2823096316399836e-16
-10.150271693494247,9.260389739592089e-18,4.514807569753116e-16
-10.131352268156887,9.884951321556633e-18,4.759934013244978e-16
-10.112432842819524,1.0554725066364038e-17,5.018363676198362e-16
-10.093513417482164,1.112927887395221e-17,5.290826211697843e-16
-10.074593992144802,1.1878970046902485e-17,5.578080261948981e-16
-10.055674566807442,1.2676075002490942e-17,5.880932061292758e-16
-10.036755141470081,1.3533335687855418e-17,6.200225460060239e-16
-10.01783571613272,1.4442504408162424e-17,6.536854644522323e-16
-9.998916290795359,1.5416661526871877e-17,6.891761900538696e-16
-9.979996865457997,1.6250954038459877e-17,7.265939447122429e-16
-9.961077440120636,1.7336752995353232e-17,7.660433346544826e-16
-9.942158014783274,1.852773703228884e-17,8.076340670258305e-16
-9.923238589445914,1.9830521889042518e-17,8.51483143356761e-16
-9.904319164108554,2.1243105966777617e-17,8.97712592757555e-16
-9.885399738771191,2.2817000226910445e-17,9.464523337963598e-16
-9.866480313433831,2.405332078149979e-17,9.978381347877834e-16
-9.847560888096469,2.58157109496517e-17,1.0520140276337545e-15
-9.828641462759109,2.7646258466251128e-17,1.1091310534994005e-15
-9.809722037421746,2.954489678448682e-17,1.1693491728707815e-15
-9.790802612084386,3.15277933359503e-17,1.2328365275612897e-15
-9.771883186747026,3.359599593594549e-17,1.299771368038751e-15
-9.752963761409664,3.541840351895818e-17,1.3703399950072689e-15
-9.734044336072303,3.7718706503432664e-17,1.4447402244608957e-15
-9.715124910734941,4.017727153323985e-17,1.5231794834844307e-15
-9.69620548539758,4.2818379371162895e-17,1.605877593533793e-15
-9.677286060060219,4.5676081276903017e-17,1.69306613847422e-15
-9.658366634722858,4.86701365714955e-17,1.784987857593752e-15
-9.639447209385498,5.131536131786759e-17,1.881900431156515e-15
-9.620527784048136,5.4633976400124315e-17,1.9840747890716486e-15
-9.601608358710775,5.811826896449826e-17,2.091796270998826e-15
-9.582688933373413,6.183493026996387e-17,2.205366570907793e-15
-9.563769508036053,6.582876658700147e-17,2.3251026404198457e-15
-9.54485008269869,6.991023912622854e-17,2.4513397145966355e-15
-9.52593065736133,7.37280425181177e-17,2.5844311990478045e-15
-9.507011232023968,7.813926605614501e-17,2.7247474439560976e-15
-9.488091806686608,8.2713039498741e-17,2.8726827508622513e-15
-9.469172381349246,8.749832799649356e-17,3.0286495841104857e-15
-9.450252956011886,9.253785754656743e-17,3.1930846185286535e-15
-9.431333530674525,9.77951565225401e-17,3.3664475422417022e-15
-9.412414105337163,1.030999103441542e-16,3.549222336493917e-15
-9.393494679999803,1.0894669709736683e-16,3.741920271735148e-15
-9.37457525466244,1.1505261782936561e-16,3.945080707150691e-15
-9.35565582932508,1.2148146143702205e-16,4.159272064074764e-15
-9.336736403987718,1.282486941683954e-16,4.385091334063985e-15
-9.317816978650358,1.353633564147948e-16,4.623172001455986e-15
-9.298897553312997,1.4268092713550604e-16,4.874178347229477e-15
-9.279978127975635,1.5059229807654548e-16,5.138813026427631e-15
-9.261058702638275,1.5891705446410072e-16,5.417815236995227e-15
-9.242139277300913,1.676704136809966e-16,5.711965295093463e-15
-9.223219851963552,1.76880765165001e-16,6.0220856578501805e-15
-9.20430042662619,1.865941763401404e-16,6.349044106400546e-15
-9.18538100128883,1.9670560849799567e-16,6.693753148861067e-15
-9.16646157595147,2.0749626526633162e-16,7.057177994707787e-15
-9.147542150614107,2.1886658737625175e-16,7.440334432849808e-15
-9.128622725276745,2.308642942583329e-16,7.844293402487286e-15
-9.109703299939385,2.4345492332607847e-16,8.270184672635219e-15
-9.090783874602025,2.567575062512827e-16,8.719198869813774e-15
-9.071864449264663,2.7070331972281867e-16,9.192591193030906e-15
-9.052945023927302,2.854776788146334e-16,9.691685963253752e-15
-9.034025598589942,3.0105560023962874e-16,1.021787805308876e-14
-9.01510617325258,3.1746047010026545e-16,1.0772638840223493e-14
-8.996186747915218,3.347528586029975e-16,1.1357518737589016e-14
-8.977267322577857,3.5297960439696025e-16,1.197415370265896e-14
-8.958347897240497,3.721341289662386e-16,1.262426838389827e-14
-8.939428471903135,3.923908847803356e-16,1.3309679594351806e-14
-8.920509046565774,4.137304739860576e-16,1.403230375535583e-14
-8.901589621228412,4.3622328389753333e-16,1.4794160996127063e-14
-8.882670195891052,4.59973355286512e-16,1.5597382687250887e-14
-8.86375077055369,4.849720700637991e-16,1.6444212915137527e-14
-8.84483134521633,5.113059429098102e-16,1.733702083290687e-14
-8.825911919878969,5.390820318958918e-16,1.8278302088464394e-14
-8.806992494541607,5.68390397785667e-16,1.9270688498587893e-14
-8.788073069204247,5.992706274730999e-16,2.0316954159454182e-14
-8.769153643866884,6.318267861246098e-16,2.142002494550699e-14
-8.750234218529524,6.661624490495168e-16,2.25829851070264e-14
-8.731314793192162,7.023273941197876e-16,2.380908590324887e-14
-8.712395367854802,7.404820051880583e-16,2.510175580474741e-14
-8.693475942517441,7.806967339976238e-16,2.6464608740994184e-14
-8.67455651718008,8.231068619687748e-16,2.790145530059171e-14
-8.655637091842717,8.678087334811576e-16,2.941631276003163e-14
-8.636717666505357,9.149289786568868e-16,3.101341600984485e-14
-8.617798241167996,9.6461660774716e-16,3.2697231440113724e-14
