epsilon_meV,eDcp_epsilon,eDcp_epsilon_prime
-26.24837504946,0.0,1.20726432937736e-19
-26.20459127122904,0.0,1.2750027132513274e-19
-26.16080749299808,1.0568134817272751e-26,1.3468431234376687e-19
-26.117023714767125,4.917356284398437e-26,1.422577752563789e-19
-26.073239936536165,1.6997632775874557e-25,1.5028433184149212e-19
-26.029456158305205,1.3359034383768494e-24,1.5875115157715174e-19
-25.98567238007425,1.3983445557510724e-24,1.6769346495817175e-19
-25.94188860184329,7.496688154671049e-24,1.771352792407802e-19
-25.89810482361233,1.7262521664465616e-23,1.8710883345588708e-19
-25.85432104538137,2.8153772371601155e-23,1.9763058170517219e-19
-25.81053726715041,4.131118192327887e-23,2.0878983305745506e-19
-25.766753488919452,6.064437196505213e-23,2.2052811879104967e-19
-25.722969710688492,6.351778212550537e-23,2.3296297094180323e-19
-25.679185932457532,1.137811142223393e-22,2.4608395625243087e-19
-25.635402154226576,2.0502933643481016e-22,2.599337751561034e-19
-25.591618375995616,3.0092485051682946e-22,2.7458908502457077e-19
-25.547834597764655,4.022174482766855e-22,2.900208482383911e-19
-25.504050819533695,5.158737342879146e-22,3.0635968667617355e-19
-25.460267041302735,5.402231168152216e-22,3.236102035576217e-19
-25.41648326307178,6.967663191761751e-22,3.4184684836542513e-19
-25.37269948484082,9.746675171953473e-22,3.6109007540440344e-19
-25.32891570660986,1.266533606313628e-21,3.8143698780958283e-19
-25.285131928378902,1.5613328132685075e-21,4.029190419263956e-19
-25.241348150147942,1.8914290233070538e-21,4.2559964917601386e-19
-25.197564371916982,1.9823744526963306e-21,4.495657813642584e-19
-25.153780593686022,2.371458439525623e-21,4.748753065842893e-19
-25.109996815455062,2.8801381107596894e-21,5.0163050723917905e-19
-25.066213037224106,3.595557251445092e-21,5.298683892481433e-19
-25.022429258993146,4.3450912190391566e-21,5.597206013637686e-19
-24.978645480762186,5.143801797448374e-21,5.9124092555941955e-19
-24.93486170253123,5.401564903937761e-21,6.245436075057574e-19
-24.89107792430027,6.307990838161843e-21,6.597088687100225e-19
-24.84729414606931,7.336123788966479e-21,6.968655411944234e-19
-24.80351036783835,8.497934816398252e-21,7.360909076608952e-19
-24.75972658960739,1.0061838703380791e-20,7.775563403649052e-19
-24.715942811376433,1.1606259677530471e-20,8.213408699409841e-19
-24.672159033145473,1.2221497955996749e-20,8.675830458380648e-19
-24.628375254914513,1.3865665289607376e-20,9.164553471913295e-19
-24.584591476683556,1.567119702821707e-20,9.680709557983843e-19
-24.540807698452596,1.761428336834312e-20,1.0225780074703807e-18
-24.497023920221636,2.0015106537141515e-20,1.0801561063138387e-18
-24.453240141990676,2.2614969656005762e-20,1.140984443918203e-18
-24.409456363759716,2.3823100640682692e-20,1.2052510511098873e-18
-24.36567258552876,2.670654457150789e-20,1.2731317157836053e-18
-24.3218888072978,2.971400774244658e-20,1.3448156304025735e-18
-24.27810502906684,3.282792955719568e-20,1.4205652699327465e-18
-24.234321250835883,3.649682698628063e-20,1.500555798379961e-18
-24.190537472604923,4.0368900751381e-20,1.585070028645565e-18
-24.146753694373963,4.253666975766992e-20,1.674318975623316e-18
-24.102969916143003,4.676621987216217e-20,1.768609663446226e-18
-24.059186137912043,5.1216062215078896e-20,1.8682126844502696e-18
-24.015402359681087,5.585057641342351e-20,1.9734086512729274e-18
-23.971618581450127,6.104942739466227e-20,2.084551326751158e-18
-23.927834803219167,6.661843598712158e-20,2.2019387570363883e-18
-23.88405102498821,7.029076929994857e-20,2.325933859705724e-18
-23.84026724675725,7.636203446531695e-20,2.456918987634635e-18
-23.79648346852629,8.257796376337743e-20,2.5952816641418436e-18
-23.75269969029533,8.901214068534808e-20,2.7414141822088863e-18
-23.70891591206437,9.60179838773085e-20,2.8957992108437427e-18
-23.665132133833414,1.0347593533548143e-19,3.0588787793549764e-18
-23.621348355602453,1.0918770048642865e-19,3.2311289352091692e-18
-23.577564577371493,1.1750829610914078e-19,3.4130944947042473e-18
-23.533780799140537,1.2602587999176166e-19,3.605301076221037e-18
-23.489997020909577,1.3494351124626554e-19,3.808335437929862e-18
-23.446213242678617,1.4452522172022272e-19,4.022784663532288e-18
-23.402429464447657,1.5460417873093966e-19,4.2493375015377745e-18
-23.358645686216697,1.6315614794353483e-19,4.488615088894438e-18
-23.31486190798574,1.7444531123081095e-19,4.7413971655519365e-18
-23.27107812975478,1.859514487071837e-19,5.008408470212382e-18
-23.22729435152382,1.9814885595723016e-19,5.290443705363663e-18
-23.183510573292864,2.109852077399709e-19,5.5883731926416985e-18
-23.139726795061904,2.2462552018279346e-19,5.903081575020787e-18
-23.095943016830944,2.3714093573740165e-19,6.235487235376828e-18
-23.052159238599984,2.5251080397109264e-19,6.5866455373075605e-18
-23.008375460369024,2.682979957347108e-19,6.95756942333867e-18
-22.964591682138067,2.8503590858080074e-19,7.349387162304779e-18
-22.920807903907107,3.026030027449091e-19,7.763230805191612e-18
-22.877024125676147,3.214110990570026e-19,8.20043107337534e-18
-22.83324034744519,3.393309844990809e-19,8.662224312940929e-18
-22.78945656921423,3.6043338947913266e-19,9.150015813507042e-18
-22.74567279098327,3.82171563240051e-19,9.665296127094253e-18
-22.70188901275231,4.051685561750869e-19,1.0209582574005245e-17
-22.65810523452135,4.2951155318508175e-19,1.0784524411767976e-17
-22.614321456290394,4.550785136969469e-19,1.139184513566709e-17
-22.570537678059434,4.806973921832858e-19,1.2033377616495844e-17
-22.526753899828474,5.09447372500021e-19,1.2710999314063935e-17
-22.482970121597518,5.395127224287677e-19,1.3426808780690831e-17
-22.439186343366558,5.711587626056762e-19,1.418291808603078e-17
-22.395402565135598,6.046271014849751e-19,1.4981609599242308e-17
-22.351618786904638,6.399505278465856e-19,1.5825266103488033e-17
-22.307835008673678,6.760665058985992e-19,1.6716455671940023e-17
-22.26405123044272,7.155900060483805e-19,1.7657820947152996e-17
-22.22026745221176,7.572659821572589e-19,1.8652202505500027e-17
-22.1764836739808,8.010468369616738e-19,1.9702580759995316e-17
-22.132699895749845,8.4727562592079e-19,2.0812094729975027e-17
-22.088916117518885,8.962532414458278e-19,2.1984105974250264e-17
-22.045132339287925,9.46519688028978e-19,2.3222097601840845e-17
-22.001348561056965,1.001365978688794e-18,2.4529828477896095e-17
-21.957564782826005,1.0585383708373699e-18,2.5911186650459033e-17
-21.913781004595048,1.1195268920742794e-18,2.7370323052730522e-17
-21.869997226364088,1.1834980851630973e-18,2.8911663805254844e-17
-21.826213448133128,1.2512794474032542e-18,3.053978248948515e-17
-21.78242966990217,1.3214879236795628e-18,3.2259567795480625e-17
-21.73864589167121,1.3971829193249164e-18,3.4076232531720785e-17
-21.69486211344025,1.4765739537616288e-18,3.599517803130847e-17
-21.65107833520929,1.561020199726583e-18,3.802217482129991e-17
-21.60729455697833,1.6496219434781579e-18,4.016334914376764e-17
-21.563510778747375,1.7434283290553274e-18,4.2425079879533376e-17
-21.519727000516415,1.8415105092315578e-18,4.481417194575437e-17
-21.475943222285455,1.9463105210971355e-18,4.733784289116881e-17
-21.4321594440545,2.0567176354085532e-18,5.000357820548551e-17
-21.38837566582354,2.173550605829199e-18,5.281944833002565e-17
-21.34459188759258,2.2967603601400248e-18,5.579388993418289e-17
-21.30080810936162,2.426693885010883e-18,5.893582934421782e-17
-21.25702433113066,2.563440504649671e-18,6.225472689613413e-17
-21.213240552899702,2.7086971711230552e-18,6.576049692351973e-17
-21.169456774668742,2.861935624297533e-18,6.946367158666207e-17
-21.125672996437782,3.0236079175184608e-18,7.337541791948921e-17
-21.081889218206825,3.194410362602814e-18,7.750742260081108e-17
-21.038105439975865,3.3749909111667948e-18,8.187212237385049e-17
-20.994321661744905,3.565139104065662e-18,8.648262135438556e-17
-20.950537883513945,3.766840022652472e-18,9.135272295886555e-17
-20.906754105282985,3.979732266762731e-18,9.649710265524344e-17
-20.86297032705203,4.204031923151384e-18,1.0193116429007757e-16
-20.81918654882107,4.441530784423028e-18,1.0767123534789923e-16
-20.77540277059011,4.692173358967838e-18,1.137345475862363e-16
-20.731618992359152,4.956192788786852e-18,1.2013933303930906e-16
-20.687835214128192,5.2359194191725156e-18,1.2690475895477213e-16
-20.644051435897232,5.5311771222487645e-18,1.3405116082394386e-16
-20.600267657666272,5.8431820242273114e-18,1.4160002010074653e-16
-20.556483879435312,6.172796362596798e-18,1.4957395372974736e-16
-20.512700101204356,6.521004143209669e-18,1.5799695038126871e-16
-20.468916322973396,6.8881426199318974e-18,1.668942553032537e-16
-20.425132544742436,7.276309684521588e-18,1.7629259106397418e-16
-20.38134876651148,7.686488450986698e-18,1.8622017157196248e-16
-20.33756498828052,8.119868536767359e-18,1.9670680439990294e-16
-20.29378121004956,8.577556115061892e-18,2.077839720432817e-16
-20.2499974318186,9.06076870349705e-18,2.1948492122141912e-16
-20.20621365358764,9.571364561340414e-18,2.318447993679053e-16
-20.162429875356683,1.0110475035431885e-17,2.4490069985199004e-16
-20.118646097125723,1.0680517347565114e-17,2.5869180678366627e-16
-20.074862318894763,1.1282195781104243e-17,2.732595233559273e-16
-20.031078540663806,1.1917514475094328e-17,2.886475959540484e-16
-19.987294762432846,1.2588966846990162e-17,3.0490221216347305e-16
-19.943510984201886,1.3298050728552395e-17,3.220721567165954e-16
-19.899727205970926,1.404705425928414e-17,3.402089989698035e-16
-19.855943427739966,1.4838547268570105e-17,3.5936716441677746e-16
-19.81215964950901,1.5674264365692018e-17,3.796042031134795e-16
-19.76837587127805,1.6557377276288414e-17,4.0098082258407074e-16
-19.72459209304709,1.749010767342832e-17,4.2356122724927895e-16
-19.680808314816133,1.847462760899172e-17,4.474131821584306e-16
-19.637024536585173,1.9515737215794328e-17,4.726083374460064e-16
-19.593240758354213,2.0615066947059125e-17,4.992222381254205e-16
-19.549456980123253,2.1775948556983876e-17,5.273348781407278e-16
-19.505673201892293,2.300240002569633e-17,5.570305987973487e-16
-19.461889423661336,2.429790043462158e-17,5.883985578687106e-16
-19.418105645430376,2.566592826490304e-17,6.215329284168866e-16
-19.374321867199416,2.711205211931185e-17,6.565331803725863e-16
-19.33053808896846,2.863903405003644e-17,6.935043588193159e-16
-19.2867543107375,3.0251882066830146e-17,7.325575165209639e-16
-19.24297053250654,3.195555051803487e-17,7.738098446185394e-16
-19.19918675427558,3.375562191025052e-17,8.173851842813276e-16
-19.15540297604462,3.565623042868467e-17,8.634143400454621e-16
-19.111619197813663,3.7664086619888924e-17,9.120355241929446e-16
-19.067835419582703,3.978535422684156e-17,9.633946669064962e-16
-19.024051641351743,4.2026183483311956e-17,1.0176459499211463e-15
-18.980267863120787,4.439316229995291e-17,1.0749522776962083e-15
-18.936484084889827,4.6893230380562216e-17,1.1354856170217744e-15
-18.892700306658867,4.9534108689610054e-17,1.199427764578952e-15
-18.848916528427907,5.232343266906032e-17,1.2669705937886022e-15
-18.805132750196947,5.527010347814448e-17,1.3383169178704591e-15
-18.76134897196599,5.838291644606983e-17,1.4136808922139797e-15
-18.71756519373503,6.16709481626346e-17,1.4932887845239963e-15
-18.67378141550407,6.514358561405449e-17,1.5773795476966483e-15
-18.629997637273114,6.881212225919784e-17,1.6662056587973937e-15
-18.586213859042154,7.268709888959577e-17,1.7600337065097161e-15
-18.542430080811194,7.678041564807801e-17,1.8591454025446084e-15
-18.498646302580234,8.110449923571406e-17,1.963838284816946e-15
-18.454862524349274,8.567177123619235e-17,2.074426600012645e-15
-18.411078746118317,9.049627197640741e-17,2.191242359696298e-15
-18.367294967887357,9.559247901838618e-17,2.314636206794866e-15
-18.323511189656397,1.0097584948253659e-16,2.4449785820142613e-15
-18.27972741142544,1.0666216693349189e-16,2.5826607810742805e-15
-18.23594363319448,1.1266895584793185e-16,2.728096038168047e-15
-18.19215985496352,1.1901359672912562e-16,2.881721012166722e-15
-18.14837607673256,1.2571550348290168e-16,3.0439968367893763e-15
-18.1045922985016,1.3279513086938634e-16,3.21541066655295e-15
-18.060808520270644,1.4027355355863446e-16,3.3964770301801455e-15
-18.017024742039684,1.4817269391970706e-16,3.5877395163045924e-15
-17.973240963808724,1.5651705549172278e-16,3.789772257658075e-15
-17.929457185577768,1.6533117069225525e-16,4.003181703103631e-15
-17.885673407346808,1.746412422323217e-16,4.22860849319113e-15
-17.841889629115848,1.844762513933015e-16,4.466729339392155e-15
