epsilon_meV,eDcp_epsilon,eDcp_epsilon_prime
-9.870603734867998,0.0,2.7406006896427863e-11
-9.854139008037526,0.0,2.8140765594480594e-11
-9.837674281207054,2.1730076728836845e-21,2.8895213452753215e-11
-9.821209554376582,1.0272026557342021e-20,2.966987760806592e-11
-9.804744827546111,3.478908134519232e-20,3.046529928842989e-11
-9.788280100715639,9.294557573731626e-20,3.1282034188541234e-11
-9.771815373885167,9.54389003267165e-20,3.212065285553064e-11
-9.755350647054694,2.107507785771045e-19,3.298174108477464e-11
-9.738885920224222,4.1170476698974747e-19,3.3865900326167785e-11
-9.72242119339375,7.291575196878211e-19,3.4773748101398415e-11
-9.705956466563277,1.2087649560657757e-18,3.570591843204188e-11
-9.689491739732805,1.9062551127688328e-18,3.666306227900149e-11
-9.673027012902335,1.957391590165905e-18,3.7645847993869895e-11
-9.656562286071862,2.9541004604718522e-18,3.8654961781846635e-11
-9.64009755924139,4.292889479374045e-18,3.969110817718716e-11
-9.623632832410918,6.132710319500647e-18,4.075501053121764e-11
-9.607168105580445,9.92199960718756e-18,4.1847411513064935e-11
-9.590703378749973,1.8397120189703247e-17,4.296907362386238e-11
-9.5742386519195,1.889063406764881e-17,4.4120779724375526e-11
-9.557773925089029,3.362277430654991e-17,4.530333357674245e-11
-9.541309198258558,5.437844304589594e-17,4.651756040030069e-11
-9.524844471428086,8.065869142724414e-17,4.7764307442287215e-11
-9.508379744597613,1.1200626947470837e-16,4.904444456362335e-11
-9.491915017767141,1.4790045884130514e-16,5.0358864839837456e-11
-9.475450290936669,1.518679752079335e-16,5.170848517835856e-11
-9.458985564106197,1.941343337426309e-16,5.30942469515876e-11
-9.442520837275724,2.4693507765004157e-16,5.451711664697242e-11
-9.426056110445252,3.2024042208943525e-16,5.5978086534055867e-11
-9.409591383614782,4.19621249009048e-16,5.747817534912945e-11
-9.39312665678431,5.494483046076016e-16,5.901842899807395e-11
-9.376661929953837,5.641875659264788e-16,6.059992127726341e-11
