epsilon_meV,eDcp_epsilon,eDcp_epsilon_prime
-20.63942811021,0.0,9.351367349029695e-34
-20.605000373579127,0.0,9.69739573835488e-34
-20.57057263694825,0.0,1.164860963151387e-33
-20.536144900317375,0.0,1.4004912161201472e-33
-20.5017171636865,0.0,1.678026242763561e-33
-20.467289427055622,0.0,2.0074819544694047e-33
-20.432861690424748,0.0,2.354218220013593e-33
-20.398433953793873,0.0,2.4520298185359263e-33
-20.364006217162995,0.0,2.9447216185840677e-33
-20.32957848053212,0.0,3.539816567658327e-33
-20.295150743901246,0.0,4.2432197524028105e-33
-20.260723007270368,0.0,5.079762023098576e-33
-20.226295270639493,0.0,5.956161265946242e-33
-20.191867534008615,0.0,6.205272680253342e-33
-20.15743979737774,0.0,7.4500304341774e-33
-20.123012060746866,0.0,8.947914706234417e-33
-20.08858432411599,0.0,1.071373596280333e-32
-20.054156587485114,0.0,1.281005566182197e-32
-20.01972885085424,0.0,1.499674373659452e-32
-19.98530111422336,0.0,1.5630316576537173e-32
-19.950873377592487,0.0,1.8750370630716186e-32
-19.916445640961612,0.0,2.2524120410972463e-32
-19.882017904330734,0.0,2.6980660987723747e-32
-19.84759016769986,0.0,3.2259572330201834e-32
-19.813162431068985,0.0,3.7746660194880233e-32
-19.778734694438107,0.0,3.9352152550365693e-32
-19.744306957807233,0.0,4.718042795396317e-32
-19.709879221176358,0.0,5.662402727712576e-32
-19.67545148454548,0.0,6.771751525230233e-32
-19.641023747914605,0.0,8.084760759173741e-32
-19.60659601128373,0.0,9.449609114278128e-32
-19.572168274652853,0.0,9.853009530687571e-32
-19.53774053802198,0.0,1.179318890860194e-31
-19.503312801391104,0.0,1.4128398552730718e-31
-19.468885064760226,0.0,1.6887459438147197e-31
-19.43445732812935,0.0,2.016489995347994e-31
-19.400029591498477,0.0,2.3560007336901603e-31
-19.3656018548676,0.0,2.4573525933977124e-31
-19.331174118236724,0.0,2.9411395810467544e-31
-19.29674638160585,0.0,3.5231325535147522e-31
-19.26231864497497,0.0,4.203070959962245e-31
-19.227890908344097,0.0,5.013516418645556e-31
-19.19346317171322,0.0,5.849353569406317e-31
-19.159035435082345,0.0,6.103117281741677e-31
-19.12460769845147,0.0,7.293171593173597e-31
-19.090179961820592,0.0,8.710252471715495e-31
-19.055752225189718,0.0,1.0372665007729341e-30
-19.021324488558843,0.0,1.23656357546454e-30
-18.986896751927965,0.0,1.4425359075926731e-30
-18.95246901529709,0.0,1.5059316414851328e-30
-18.918041278666216,0.0,1.7999488550410848e-30
-18.883613542035338,0.0,2.1500517440578252e-30
-18.849185805404463,0.0,2.5582811055607107e-30
-18.81475806877359,0.0,3.0401669110648253e-30
-18.78033033214271,0.0,3.533712047725178e-30
-18.745902595511836,0.0,3.6907148717537084e-30
-18.711474858880962,0.0,4.4008234846226405e-30
-18.677047122250084,0.0,5.250602876146421e-30
-18.64261938561921,0.0,6.2404300441417394e-30
-18.608191648988335,0.0,7.408740654460289e-30
-18.573763912357457,0.0,8.597282042134776e-30
-18.539336175726582,0.0,8.986041058713157e-30
-18.504908439095708,0.0,1.0695477016726088e-29
-18.47048070246483,0.0,1.274055884495214e-29
-18.436052965833955,0.0,1.5126601925024e-29
-18.401625229203077,0.0,1.7604386038285793e-29
-18.367197492572203,0.0,2.0817503806584673e-29
-18.332769755941328,0.0,2.176116879492317e-29
-18.298342019310454,0.0,2.586308275289998e-29
-18.263914282679576,0.0,3.071973951470482e-29
-18.2294865460487,0.0,3.6387961581778117e-29
-18.195058809417823,0.0,4.2230445443359335e-29
-18.16063107278695,0.0,4.9794638194246474e-29
-18.126203336156074,0.0,5.209147521335835e-29
-18.091775599525196,0.0,6.173976154092715e-29
-18.05734786289432,0.0,7.321611038307947e-29
-18.022920126263447,0.0,8.657180502873197e-29
-17.98849238963257,0.0,1.0043960606791557e-28
-17.954064653001694,0.0,1.185868848175448e-28
-17.91963691637082,0.0,1.2391341595889071e-28
-17.88520917973994,0.0,1.4693867828577021e-28
-17.850781443109067,0.0,1.7363216090235427e-28
-17.816353706478193,0.0,2.0429839138139327e-28
-17.781925969847315,0.0,2.360913065538342e-28
-17.74749823321644,0.0,2.7824484098639034e-28
-17.713070496585566,0.0,2.9090004833481366e-28
-17.678642759954688,0.0,3.4471953924520836e-28
-17.644215023323813,0.0,4.067530499165429e-28
-17.60978728669294,0.0,4.776548436608901e-28
-17.57535955006206,0.0,5.496858049964359e-28
-17.540931813431186,0.0,6.444926221206818e-28
-17.50650407680031,0.0,6.747581667102772e-28
-17.472076340169433,0.0,7.960610908803983e-28
-17.43764860353856,0.0,9.37228950839402e-28
-17.40322086690768,0.0,1.1003290550825137e-27
-17.368793130276806,0.0,1.2659808928189908e-27
-17.334365393645932,0.0,1.4830402315535571e-27
-17.299937657015057,0.0,1.5540635716213362e-27
-17.26550992038418,0.0,1.8296472262663098e-27
-17.231082183753305,0.0,2.149197333816496e-27
-17.196654447122427,0.0,2.5120271649245875e-27
-17.162226710491552,0.0,2.874206669055299e-27
-17.127798973860678,0.0,3.350644945646385e-27
-17.0933712372298,0.0,3.514319498880636e-27
-17.058943500598925,0.0,4.121622872992285e-27
-17.02451576396805,0.0,4.831098503456454e-27
-16.990088027337173,0.0,5.628975477172587e-27
-16.955660290706298,0.0,6.426343129356731e-27
-16.921232554075424,0.0,7.470601245642535e-27
-16.886804817444546,0.0,7.846623612666734e-27
-16.85237708081367,0.0,9.15680940524477e-27
-16.817949344182797,0.0,1.0665036877078055e-26
-16.78352160755192,0.0,1.2347908241355656e-26
-16.749093870921044,0.0,1.4081018810288815e-26
-16.71466613429017,0.0,1.6353778362231107e-26
-16.68023839765929,0.0,1.7196455500462146e-26
-16.645810661028417,0.0,2.0055011802519564e-26
-16.61138292439754,0.0,2.3314565136594012e-26
-16.576955187766664,0.0,2.687850859264846e-26
-16.54252745113579,0.0,3.047975291779967e-26
-16.508099714504915,0.0,3.517074621408788e-26
-16.473671977874037,0.0,3.705646338708518e-26
-16.439244241243163,0.0,4.29663836427078e-26
-16.404816504612285,0.0,4.9709459138913565e-26
-16.37038876798141,0.0,5.704047139019459e-26
-16.335961031350536,0.0,6.432781973742306e-26
-16.30153329471966,0.0,7.381983208956128e-26
-16.267105558088783,0.0,7.79887344045627e-26
-16.23267782145791,0.0,9.004092751916634e-26
-16.19825008482703,0.0,1.0372380764503192e-25
-16.163822348196156,0.0,1.1850146220109564e-25
-16.12939461156528,0.0,1.3330703594579248e-25
-16.094966874934403,0.0,1.422219689527196e-25
-16.06053913830353,0.0,1.6169413875788635e-25
-16.026111401672654,0.0,1.8602034172853956e-25
-15.991683665041776,0.0,2.1276911409668496e-25
-15.957255928410902,0.0,2.400963097804793e-25
-15.922828191780027,0.0,2.6831384602938454e-25
-15.88840045514915,0.0,2.8690803487070264e-25
-15.853972718518275,0.0,3.2235067863530114e-25
-15.819544981887399,0.0,3.672692653301282e-25
-15.785117245256522,0.0,4.184185524519444e-25
-15.750689508625648,0.0,4.7202447635621485e-25
-15.716261771994771,0.0,5.2826146424795685e-25
-15.681834035363895,0.0,5.615727960869862e-25
-15.64740629873302,0.0,6.36469509451276e-25
-15.612978562102144,0.0,7.217714095573486e-25
-15.578550825471268,0.0,8.142481202582677e-25
-15.544123088840394,0.0,9.04227896603097e-25
-15.509695352209517,0.0,9.986348383297862e-25
-15.475267615578641,0.0,1.0641768143050743e-24
-15.440839878947767,0.0,1.1937056165026533e-24
-15.40641214231689,0.0,1.347542919780562e-24
-15.371984405686014,0.0,1.5200901601879015e-24
-15.33755666905514,0.0,1.6875805234519953e-24
-15.303128932424263,0.0,1.8588441114897556e-24
-15.268701195793387,0.0,1.9875642157363818e-24
-15.234273459162512,0.0,2.2174155700091335e-24
-15.199845722531636,0.0,2.4730699907867933e-24
-15.16541798590076,0.0,2.751785717965473e-24
-15.130990249269885,0.0,3.018743801249546e-24
-15.096562512639007,0.0,3.317049323722952e-24
-15.062134776008133,0.0,3.555950353439852e-24
-15.027707039377258,0.0,3.9596351793433594e-24
-14.99327930274638,0.0,4.401017875266296e-24
-14.958851566115506,0.0,4.8782186969799025e-24
-14.92442382948463,0.0,5.3225940527552915e-24
-14.889996092853753,0.0,5.801136938928305e-24
-14.855568356222879,0.0,6.254861645689591e-24
-14.821140619592002,0.0,6.89262064403162e-24
-14.786712882961126,0.0,7.605749385150049e-24
-14.752285146330252,0.0,8.376870876947728e-24
-14.717857409699375,0.0,9.136014493753214e-24
-14.683429673068499,0.0,9.958012990023198e-24
-14.649001936437624,0.0,1.0778026727014657e-23
-14.614574199806748,0.0,1.1865610528462313e-23
-14.580146463175872,0.0,1.3051329896836595e-23
-14.545718726544997,0.0,1.4281613478074785e-23
-14.511290989914121,0.0,1.5548647576451627e-23
-14.476863253283245,0.0,1.6913928387711786e-23
-14.44243551665237,0.0,1.8436746645824864e-23
-14.408007780021494,0.0,2.0251123139609996e-23
-14.373580043390618,0.0,2.222345939982729e-23
-14.339152306759743,0.0,2.434897886636664e-23
-14.304724570128867,0.0,2.6535921700885085e-23
-14.27029683349799,0.0,2.8917205962317003e-23
-14.235869096867116,0.0,3.1568292252316905e-23
-14.201441360236238,0.0,3.464190484599997e-23
-14.167013623605364,0.0,3.796705763058921e-23
-14.13258588697449,0.0,4.15514173606677e-23
-14.098158150343611,1.0899281139244278e-29,4.5290958368244696e-23
-14.063730413712737,5.287817202381679e-29,4.942767309236641e-23
-14.02930267708186,5.287257314277046e-29,5.402772430209636e-23
-13.994874940450984,1.837727874248781e-28,5.922574501187535e-23
-13.96044720382011,5.051661392245665e-28,6.482191922033348e-23
-13.926019467189233,1.141778785453792e-27,7.088169634830234e-23
-13.891591730558357,3.1371445174363838e-27,7.739228932068707e-23
-13.857163993927482,1.4107943569978732e-26,8.452967500041848e-23
-13.822736257296606,1.4106449539285846e-26,9.242959556747997e-23
-13.78830852066573,3.8183627484635007e-26,1.0119197462679916e-22
-13.753880784034855,7.029754193554608e-26,1.10681119689682e-22
-13.719453047403979,1.094034351171718e-25,1.2099059239992558e-22
-13.685025310773103,1.6555092057120857e-25,1.3228707433890604e-22
-13.650597574142228,2.521270286386705e-25,1.4450167249556154e-22
-13.616169837511352,2.5214224538250144e-25,1.5802229933227953e-22
-13.581742100880476,3.6434738388996004e-25,1.7290385639677647e-22
-13.547314364249601,5.369335104652285e-25,1.890517266977905e-22
-13.512886627618725,8.642405894055015e-25,2.0668970096391553e-22
-13.478458890987849,1.148914022266804e-24,2.259512530530313e-22
-13.444031154356974,1.4446505725699755e-24,2.4701880594842527e-22
-13.409603417726098,1.4554535574301464e-24,2.6998179786644296e-22
-13.375175681095222,1.8394344136653487e-24,2.954491079574637e-22
-13.340747944464347,2.341334134646403e-24,3.229179462163781e-22
-13.306320207833469,2.9010810812848912e-24,3.530867999173073e-22
-13.271892471202595,3.550730319873216e-24,3.8615660030703493e-22
-13.23746473457172,4.3907737022029834e-24,4.2199547670434845e-22
-13.203036997940842,4.4771454273120645e-24,4.614285147526598e-22
-13.168609261309967,5.4495933777640224e-24,5.045954923579828e-22
-13.134181524679093,6.469809329757002e-24,5.516730147241766e-22
-13.099753788048215,7.695942884045632e-24,6.032551300097929e-22
-13.06532605141734,8.94899644176551e-24,6.596481628612267e-22
-13.030898314786464,1.0020695927092793e-23,7.209642281287291e-22
-12.996470578155588,1.0359036254622557e-23,7.883009865950188e-22
-12.962042841524713,1.203492419272161e-23,8.620339480391002e-22
-12.927615104893837,1.405258601290776e-23,9.42521836175499e-22
-12.89318736826296,1.639536313819915e-23,1.0306784345589657e-21
-12.858759631632086,1.8798088751255206e-23,1.1268536113915775e-21
-12.82433189500121,2.0504139317715275e-23,1.2318542455125756e-21
-12.789904158370334,2.167363495410352e-23,1.347146296041357e-21
-12.75547642173946,2.4682087197596694e-23,1.4727306874038735e-21
-12.721048685108583,2.793713049063648e-23,1.610386486294515e-21
-12.686620948477707,3.125715724717243e-23,1.760700767521909e-21
-12.652193211846832,3.5113090092763363e-23,1.925092686758589e-21
-12.617765475215956,3.8233568972001734e-23,2.104810737171845e-21
-12.58333773858508,4.07249423364711e-23,2.301508765989955e-21
-12.548910001954205,4.5936712572586775e-23,2.5164220482446696e-21
-12.514482265323329,5.19045088854654e-23,2.751290617121547e-21
-12.480054528692452,5.797647646358152e-23,3.0080985205524006e-21
-12.445626792061576,6.271624135372864e-23,3.2890448212662434e-21
-12.411199055430702,6.890697881646183e-23,3.596273806157813e-21
-12.376771318799825,7.433147247302713e-23,3.93194577350167e-21
-12.34234358216895,8.261431404444046e-23,4.299062434279163e-21
-12.307915845538075,9.211904410268361e-23,4.700409943461361e-21
-12.273488108907198,1.0174785574374834e-22,5.139423897522908e-21
-12.239060372276322,1.103131624636453e-22,5.619346209837818e-21
-12.204632635645448,1.2075254676760436e-22,6.144089293180087e-21
-12.170204899014571,1.3026756489791283e-22,6.717714453539771e-21
-12.135777162383695,1.4574254831368853e-22,7.344864809680701e-21
-12.10134942575282,1.6121361654706206e-22,8.03090894920105e-21
-12.066921689121944,1.7638901338855862e-22,8.780672832274616e-21
-12.032493952491068,1.9106858559596203e-22,9.60032145656732e-21
-11.998066215860192,2.0991767748806797e-22,1.0496823535374323e-20
-11.963638479229317,2.2701310139739176e-22,1.1476860621186796e-20
-11.92921074259844,2.5244284168194523e-22,1.254835468205457e-20
-11.894783005967565,2.770695674952533e-22,1.372001533030149e-20
-11.86035526933669,3.0341328396175972e-22,1.500099328663714e-20
-11.825927532705814,3.29575960862527e-22,1.6401605109422445e-20
-11.791499796074937,3.6130912213144423e-22,1.7932891807490997e-20
-11.757072059444063,3.924307102244439e-22,1.9607325471158918e-20
-11.722644322813187,4.350203693785056e-22,2.1437786607670352e-20
-11.68821658618231,4.752044625460017e-22,2.3439664539320302e-20
-11.653788849551436,5.201311197562788e-22,2.5628107893871133e-20
-11.61936111292056,5.656743166733031e-22,2.802067923723753e-20
-11.584933376289683,6.208284649098648e-22,3.0637025461024667e-20
-11.550505639658807,6.747167192496199e-22,3.3497428969473097e-20
-11.516077903027933,7.453134203041647e-22,3.6624957762902736e-20
-11.481650166397056,8.1298366987371e-22,4.004468461220815e-20
-11.44722242976618,8.894155957006684e-22,4.3783248793821976e-20
-11.412794693135305,9.674274327443417e-22,4.7871259771866096e-20
-11.37836695650443,1.0629622634256005e-21,5.234081530907455e-20
-11.343939219873553,1.1576723060620072e-21,5.722762034230548e-20
-11.309511483242678,1.2733046969392248e-21,6.25708026175503e-20
-11.275083746611802,1.3892811989489483e-21,6.841281921114863e-20
-11.240656009980926,1.5200142982712581e-21,7.480023592786192e-20
-11.206228273350051,1.65678641138306e-21,8.178418971133419e-20
-11.171800536719175,1.8148225695884854e-21,8.942001426206847e-20
-11.137372800088299,1.981500487064898e-21,9.776879109858974e-20
-11.102945063457422,2.1714204387760097e-21,1.0689727924434274e-19
-11.068517326826548,2.3741004145736627e-21,1.1687775898378147e-19
-11.034089590195672,2.5949831331372535e-21,1.2779015106261126e-19
-10.999661853564795,2.831666998483101e-21,1.3972158309426942e-19
-10.965234116933921,3.1030459895341175e-21,1.5276673620122518e-19
-10.930806380303045,3.388563498214979e-21,1.6703016619726563e-19
-10.896378643672168,3.709040967011929e-21,1.8262504240057165e-19
-10.861950907041294,4.0540850605359e-21,1.9967617815040717e-19
-10.827523170410418,4.430399116508243e-21,2.18319128765448e-19
-10.793095433779541,4.842779134680308e-21,2.387027499567585e-19
-10.758667697148667,5.300497361503128e-21,2.6098962421702845e-19
-10.72423996051779,5.791885244519134e-21,2.853571720050521e-19
-10.689812223886914,6.333437396967289e-21,3.1199987187219344e-19
-10.655384487256038,6.926064777279375e-21,3.411302463585287e-19
-10.620956750625163,7.572207716143523e-21,3.729803875406317e-19
-10.586529013994287,8.277659201751352e-21,4.0780426239984977e-19
-10.55210127736341,9.05573833724276e-21,4.458794124470716e-19
-10.517673540732536,9.896315416661522e-21,4.875096350294121e-19
-10.48324580410166,1.0823900828499907e-20,5.33026601173405e-19
-10.448818067470784,1.18294651560306e-20,5.827934925399951e-19
-10.41439033083991,1.2936419921142015e-20,6.372066208612924e-19
-10.379962594209033,1.4143574689186437e-20,6.967004989464284e-19
-10.345534857578157,1.5465410499506527e-20,7.617490124664611e-19
-10.311107120947282,1.6908113860023002e-20,8.328708473478214e-19
-10.276679384316406,1.8490769995680512e-20,9.106331595950087e-19
-10.24225164768553,2.021517368584019e-20,9.956557081827283e-19
-10.207823911054655,2.209989378801737e-20,1.0886166423103898e-18
-10.173396174423779,2.4167694213478374e-20,1.19025691738984e-18
-10.138968437792903,2.6422876474475897e-20,1.3013872796145446e-18
-10.104540701162026,2.888637393721036e-20,1.4228931640285155e-18
-10.070112964531152,3.158533461426513e-20,1.555744043631332e-18
-10.035685227900276,3.453723564473848e-20,1.700998633391998e-18
-10.0012574912694,3.7762859387416465e-20,1.8598151817094167e-18
-9.966829754638525,4.128868513902567e-20,2.033459957634616e-18
-9.932402018007648,4.5141276642038506e-20,2.223317465910063e-18
-9.897974281376772,4.935479744879057e-20,2.4309013141697367e-18
-9.863546544745898,5.396673306465735e-20,2.657866702735983e-18
-9.829118808115021,5.90019766377669e-20,2.9060233675958526e-18
-9.794691071484145,6.450887027849114e-20,3.1773493989470176e-18
-9.76026333485327,7.05329952115017e-20,3.474008634891271e-18
-9.725835598222394,7.712225975205838e-20,3.79836615149388e-18
-9.691407861591518,8.43181763056619e-20,4.153007809501752e-18
-9.656980124960642,9.219412064814109e-20,4.540761564727938e-18
-9.622552388329767,1.0080277338125629e-19,4.964718919150432e-18
-9.588124651698891,1.1021684454515582e-19,5.428260012361713e-18
-9.553696915068015,1.2049608146155592e-19,5.9350807077862124e-18
-9.51926917843714,1.3175117579750702e-19,6.489221940059223e-18
-9.484841441806264,1.4405415777949494e-19,7.095102122742186e-18
-9.450413705175388,1.5750428425882754e-19,7.757551845290221e-18
-9.415985968544513,1.7221380144329783e-19,8.481853157879073e-18
-9.381558231913637,1.8828611453101482e-19,9.273780431717629e-18
-9.34713049528276,2.0586840185847433e-19,1.0139648543349127e-17
-9.312702758651886,2.2509118424772623e-19,1.1086360595058824e-17
-9.27827502202101,2.4610185037966476e-19,1.2121465144960884e-17
-9.243847285390133,2.6908568298310324e-19,1.3253215209534564e-17
-9.209419548759257,2.9420696688511034e-19,1.4490634464876786e-17
-9.174991812128383,3.216790655355603e-19,1.5843589149992785e-17
-9.140564075497506,3.5171015398596956e-19,1.7322866170065004e-17
-9.10613633886663,3.8455168405254433e-19,1.8940260487624725e-17
-9.071708602235756,4.20456170167926e-19,2.070866762986903e-17
-9.03728086560488,4.597062468840561e-19,2.264218742955254e-17
-9.002853128974003,5.026310691165865e-19,2.475623683378752e-17
-8.968425392343129,5.495599449888194e-19,2.706767076500075e-17
-8.933997655712252,6.008779753166638e-19,2.959491894243931e-17
-8.899569919081376,6.569681422113406e-19,3.2358131528562083e-17
-8.865142182450501,7.183035643785245e-19,3.537934019780154e-17
-8.830714445819625,7.853753710068177e-19,3.8682633540466625e-17
-8.796286709188749,8.586983312024573e-19,4.229434924888274e-17
-8.761858972557873,9.388761462144644e-19,4.624328383263483e-17
-8.727431235926998,1.0265341266562907e-18,5.0560922220400223e-17
-8.693003499296122,1.1223737684559355e-18,5.5281689379981545e-17
-8.658575762665246,1.2271744962470155e-18,6.044322466576812e-17
-8.624148026034371,1.3417472309388574e-18,6.608668184761064e-17
-8.589720289403495,1.4670189335217555e-18,7.225705675286015e-17
-8.555292552772618,1.6039936044306007e-18,7.900354606487247e-17
-8.520864816141744,1.7537516038348263e-18,8.637993917806397e-17
-8.486437079510868,1.9174856182310595e-18,9.444504787018165e-17
-8.452009342879991,2.0965197692962603e-18,1.0326317438021414e-16
-8.417581606249117,2.2922594646070817e-18,1.129046255414215e-16
-8.38315386961824,2.5062747847795337e-18,1.234462705185466e-16
-8.348726132987364,2.7402844521970516e-18,1.3497215510742977e-16
-8.314298396356488,2.996126065937967e-18,1.4757417215789936e-16
-8.279870659725614,3.2758707722268825e-18,1.6135279454184326e-16
-8.245442923094737,3.5817208764042575e-18,1.764178744922714e-16
-8.211015186463861,3.916133954237387e-18,1.9288952256201924e-16
-8.176587449832986,4.281766420611781e-18,2.1089905859841116e-16
-8.14215971320211,4.681539778290265e-18,2.3059006151464045e-16
-8.107731976571234,5.1186327015521665e-18,2.5211951433053485e-16
-8.07330423994036,5.596535358664907e-18,2.756590551117842e-16
-8.038876503309483,6.119067970400656e-18,3.013963453192919e-16
-8.004448766678607,6.690374191547398e-18,3.2953656719752214e-16
